"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Publisher","Document Type","Open Access","Source"
"Xu X.; Deng Z.; Dehghani H.; Iordachita I.; Lim M.; Wong J.W.; Wang K.K.-H.","Xu, Xiangkun (57203729451); Deng, Zijian (55658801700); Dehghani, Hamid (56014905900); Iordachita, Iulian (11142173400); Lim, Michael (8623337000); Wong, John W. (55484456000); Wang, Ken Kang-Hsin (56603275300)","57203729451; 55658801700; 56014905900; 11142173400; 8623337000; 55484456000; 56603275300","Quantitative Bioluminescence Tomography-Guided Conformal Irradiation for Preclinical Radiation Research","2021","International Journal of Radiation Oncology Biology Physics","111","5","","1310","1321","11","10.1016/j.ijrobp.2021.08.010","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116330228&doi=10.1016%2fj.ijrobp.2021.08.010&partnerID=40&md5=d11a895c59fb734774ada4e37f47c18f","Purpose: Widely used cone beam computed tomography (CBCT)-guided irradiators in preclinical radiation research are limited to localize soft tissue target because of low imaging contrast. Knowledge of target volume is a fundamental need for radiation therapy (RT). Without such information to guide radiation, normal tissue can be overirradiated, introducing experimental uncertainties. This led us to develop high-contrast quantitative bioluminescence tomography (QBLT) for guidance. The use of a 3-dimensional bioluminescence signal, related to cell viability, for preclinical radiation research is one step toward biology-guided RT. Methods and Materials: Our QBLT system enables multiprojection and multispectral bioluminescence imaging to maximize input data for the tomographic reconstruction. Accurate quantification of spectrum and dynamic change of in vivo signal were also accounted for the QBLT. A spectral-derivative method was implemented to eliminate the modeling of the light propagation from animal surface to detector. We demonstrated the QBLT capability of guiding conformal RT using a bioluminescent glioblastoma (GBM) model in vivo. A threshold was determined to delineate QBLT reconstructed gross target volume (GTVQBLT), which provides the best overlap between the GTVQBLT and CBCT contrast labeled GBM (GTV), used as the ground truth for GBM volume. To account for the uncertainty of GTVQBLT in target positioning and volume delineation, a margin was determined and added to the GTVQBLT to form a QBLT planning target volume (PTVQBLT) for guidance. Results: The QBLT can reconstruct in vivo GBM with localization accuracy within 1 mm. A 0.5-mm margin was determined and added to GTVQBLT to form PTVQBLT, largely improving tumor coverage from 75.0% (0 mm margin) to 97.9% in average, while minimizing normal tissue toxicity. With the goal of prescribed dose 5 Gy covering 95% of PTVQBLT, QBLT-guided 7-field conformal RT can effectively irradiate 99.4 ± 1.0% of GTV. Conclusions: The QBLT provides a unique opportunity for investigators to use biologic information for target delineation, guiding conformal irradiation, and reducing normal tissue involvement, which is expected to increase reproducibility of scientific discovery. © 2021 The Authors","Elsevier Inc.","Article","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus"
"Ni R.; Chen Z.; Deán-Ben X.L.; Voigt F.F.; Kirschenbaum D.; Shi G.; Villois A.; Zhou Q.; Crimi A.; Arosio P.; Nitsch R.M.; Nilsson K.P.R.; Aguzzi A.; Helmchen F.; Klohs J.; Razansky D.","Ni, Ruiqing (55559809900); Chen, Zhenyue (57196943921); Deán-Ben, Xosé Luís (36987460900); Voigt, Fabian F. (36176602800); Kirschenbaum, Daniel (56402873200); Shi, Gloria (57219830804); Villois, Alessia (57201989777); Zhou, Quanyu (57212514738); Crimi, Alessandro (57224770866); Arosio, Paolo (57198744150); Nitsch, Roger M. (7102628200); Nilsson, K. Peter R. (8075429900); Aguzzi, Adriano (7102605630); Helmchen, Fritjof (6603881621); Klohs, Jan (23497564100); Razansky, Daniel (8840993800)","55559809900; 57196943921; 36987460900; 36176602800; 56402873200; 57219830804; 57201989777; 57212514738; 57224770866; 57198744150; 7102628200; 8075429900; 7102605630; 6603881621; 23497564100; 8840993800","Multiscale optical and optoacoustic imaging of amyloid-β deposits in mice","2022","Nature Biomedical Engineering","6","9","","1031","1044","13","10.1038/s41551-022-00906-1","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134337481&doi=10.1038%2fs41551-022-00906-1&partnerID=40&md5=eae2319e9bc7c681afaca16c13426914","Deposits of amyloid-β (Aβ) in the brains of rodents can be analysed by invasive intravital microscopy on a submillimetre scale, or via whole-brain images from modalities lacking the resolution or molecular specificity to accurately characterize Aβ pathologies. Here we show that large-field multifocal illumination fluorescence microscopy and panoramic volumetric multispectral optoacoustic tomography can be combined to longitudinally assess Aβ deposits in transgenic mouse models of Alzheimer’s disease. We used fluorescent Aβ-targeted probes (the luminescent conjugated oligothiophene HS-169 and the oxazine-derivative AOI987) to transcranially detect Aβ deposits in the cortex of APP/PS1 and arcAβ mice with single-plaque resolution (8 μm) and across the whole brain (including the hippocampus and the thalamus, which are inaccessible by conventional intravital microscopy) at sub-150 μm resolutions. Two-photon microscopy, light-sheet microscopy and immunohistochemistry of brain-tissue sections confirmed the specificity and regional distributions of the deposits. High-resolution multiscale optical and optoacoustic imaging of Aβ deposits across the entire brain in rodents thus facilitates the in vivo study of Aβ accumulation by brain region and by animal age and strain. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.","Nature Research","Article","All Open Access; Green Open Access","Scopus"
"Seddon A.B.; Sójka L.; Furniss D.; Tang Z.; Crane R.; Nunes J.; Phang S.; Barney E.; Farries M.; Benson T.M.; Sujecki S.","Seddon, Angela B. (35548863600); Sójka, Łukasz (37009220700); Furniss, David (7003829749); Tang, Zhuoqi (36671969000); Crane, Richard (57208807409); Nunes, Joel (57197917663); Phang, Sendy (55922089600); Barney, Emma (16300723300); Farries, Mark (7003546271); Benson, Trevor M. (7103235804); Sujecki, Slawomir (6603917806)","35548863600; 37009220700; 7003829749; 36671969000; 57208807409; 57197917663; 55922089600; 16300723300; 7003546271; 7103235804; 6603917806","Mid-infrared sources, based on chalcogenide glass fibres, for biomedical diagnostics","2021","Progress in Biomedical Optics and Imaging - Proceedings of SPIE","11635","","1163503","","","","10.1117/12.2593181","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103841409&doi=10.1117%2f12.2593181&partnerID=40&md5=6ec97ae0f64b4ae302d06b40e2807859","Mid-infrared (MIR) direct fiber lasers beyond 4 μm wavelength will deliver optimum beam quality of bright, spatially and temporally coherent light, routeable in MIR fiber-optics. They are being developed for applications including narrow-band biomolecular sensing, medical laser surgery at new, long wavelengths and for pulsed seeding of long wavelength MIR-supercontinua in MIR glass fiber for all-fiber, compact systems for broad-band MIR medical sensing and hyperspectral imaging. Low phonon energy, selenide chalcogenide glasses are the optimum glass host for lanthanide ion doping for emission across the 3 to 10 μm wavelength MIR region. Here, we report our recent advances including: >1 mW incoherent emission in the 4-5 μm wavelength region and demonstration of gain beyond 4 μm in Pr3+ doped chalcogenide glass fiber, and proposed quasi three-level lasing beyond 4 μm in Tb3+ doped chalcogenide glass fibers. Encouragingly, since 2020, lasing in both Pr3+ and Tb3+ selenide chalcogenide bulk glasses has been reported. Our overall goal is for new portable, MIR spectroscopic systems based on chalcogenide optical fibers for in vivo sensing, imaging and treatment in healthcare, including for early diagnosis of disease.  © 2021 SPIE.","SPIE","Conference paper","","Scopus"
"dos Santos A.M.; Meneguin A.B.; Akhter D.T.; Fletcher N.; Houston Z.H.; Bell C.; Thurecht K.J.; Gremião M.P.D.","dos Santos, Aline Martins (57191329681); Meneguin, Andréia Bagliotti (57192375307); Akhter, Dewan Taslima (54885294700); Fletcher, Nicholas (54386695600); Houston, Zachary H. (57208791093); Bell, Craig (12780777200); Thurecht, Kristofer J. (6508273794); Gremião, Maria Palmira Daflon (6602206100)","57191329681; 57192375307; 54885294700; 54386695600; 57208791093; 12780777200; 6508273794; 6602206100","Understanding the role of colon-specific microparticles based on retrograded starch/pectin in the delivery of chitosan nanoparticles along the gastrointestinal tract","2021","European Journal of Pharmaceutics and Biopharmaceutics","158","","","371","378","7","10.1016/j.ejpb.2020.12.004","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098894023&doi=10.1016%2fj.ejpb.2020.12.004&partnerID=40&md5=535b1718a53f3450ab81d13d4c0b546d","The encapsulation of nanoparticles within microparticles designed for specific delivery to the colon is a relevant strategy to avoid premature degradation or release of nanoparticles during their passage through the stomach and upper gastrointestinal tract (GIT), allowing the targeted delivery of chemotherapeutics to the colon after oral administration. Here, we designed an oral multiparticulate system to achieve targeted release in the colon. In this sense, chitosan nanoparticles (CS NPs) encapsulated with 5-fluorouracil (5-FU) and incorporated into retrograded starch and pectin (RS/P) microparticles were developed and their in vivo distribution along the mouse GIT after oral administration was monitored using multispectral optical imaging. In vitro release studies revealed that the encapsulation of CS NPs into RS/P microparticles promoted greater control of 5-FU release rates, with a significant reduction (53%) in acid media that might replicate that found in the stomach following oral administration. The evaluation of the in vivo biodistribution of the CS NPs in mice showed a faster clearance in the distribution pattern along the mouse GIT, i.e., a shorter transit time of CS NPs compared to CS NPs-loaded RS/P microparticles. Additionally, CS NPs alone showed non-specific absorption into the blood-stream with associated kidney accumulation, while for the CS NPs-loaded RS/P microparticles no significant accumulation was observed in blood or major clearance organs. This suggests the specific degradability of RS/P by the colon microbiota appears to have been decisive in the higher protection of the CS NPs along the GIT until release in the colon, preventing unwanted absorption into the bloodstream and major organs following oral administration. Our findings represent a proof of concept for the use of RS/P microparticles as potential carriers for delivering drug-loaded nanoparticles to the colon and this work will contribute to the development of oral-systems for colorectal cancer therapy. © 2020 Elsevier B.V.","Elsevier B.V.","Article","","Scopus"
"Müller-Seubert W.; Roth S.; Hauck T.; Arkudas A.; Horch R.E.; Ludolph I.","Müller-Seubert, Wibke (56034758100); Roth, Sascha (57224538228); Hauck, Theresa (57195568408); Arkudas, Andreas (22833578300); Horch, Raymund E. (7006507772); Ludolph, Ingo (55153961600)","56034758100; 57224538228; 57195568408; 22833578300; 7006507772; 55153961600","Response to the letter to the editor ‘Novel imaging methods reveal positive impact of topical negative pressure application on tissue perfusion in an in-vivo skin model’","2021","International Wound Journal","18","6","","942","943","1","10.1111/iwj.13683","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114300839&doi=10.1111%2fiwj.13683&partnerID=40&md5=62ca854f3c081d0101d377cab92eab5c","[No abstract available]","John Wiley and Sons Inc","Letter","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Querido W.; Kandel S.; Pleshko N.","Querido, William (16317637100); Kandel, Shital (57196221371); Pleshko, Nancy (57193569604)","16317637100; 57196221371; 57193569604","Applications of vibrational spectroscopy for analysis of connective tissues","2021","Molecules","26","4","922","","","","10.3390/molecules26040922","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101485659&doi=10.3390%2fmolecules26040922&partnerID=40&md5=17d9c2292a0566aa8ce5c729ebde5cb6","Advances in vibrational spectroscopy have propelled new insights into the molecular composition and structure of biological tissues. In this review, we discuss common modalities and techniques of vibrational spectroscopy, and present key examples to illustrate how they have been applied to enrich the assessment of connective tissues. In particular, we focus on applications of Fourier transform infrared (FTIR), near infrared (NIR) and Raman spectroscopy to assess cartilage and bone properties. We present strengths and limitations of each approach and discuss how the combination of spectrometers with microscopes (hyperspectral imaging) and fiber optic probes have greatly advanced their biomedical applications. We show how these modalities may be used to evaluate virtually any type of sample (ex vivo, in situ or in vivo) and how “spectral fingerprints” can be interpreted to quantify outcomes related to tissue composition and quality. We highlight the unparalleled advantage of vibrational spectroscopy as a label-free and often nondestructive approach to assess properties of the extracellular matrix (ECM) associated with normal, developing, aging, pathological and treated tissues. We believe this review will assist readers not only in better understanding applications of FTIR, NIR and Raman spectroscopy, but also in implementing these approaches for their own research projects. © 2021 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/ 4.0/).","MDPI AG","Review","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Feng T.; Ge Y.; Xie Y.; Xie W.; Liu C.; Li L.; Ta D.; Jiang Q.; Cheng Q.","Feng, Ting (50661302400); Ge, Yuxiang (57198852966); Xie, Yejing (57219964414); Xie, Weiya (57211606061); Liu, Chengcheng (55737232100); Li, Lan (57923555600); Ta, Dean (6701758419); Jiang, Qing (26653523000); Cheng, Qian (36015135600)","50661302400; 57198852966; 57219964414; 57211606061; 55737232100; 57923555600; 6701758419; 26653523000; 36015135600","Detection of collagen by multi-wavelength photoacoustic analysis as a biomarker for bone health assessment","2021","Photoacoustics","24","","100296","","","","10.1016/j.pacs.2021.100296","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114189430&doi=10.1016%2fj.pacs.2021.100296&partnerID=40&md5=eaf4feb056d019279a4ce29808495852","Collagen is an important biomarker of osteoporosis progression. Noninvasive, multispectral, photoacoustic (PA) techniques use pulsed laser light to induce PA signals to facilitate the visualization of chemical components that are strongly related to tissue health. In this study, the feasibility of multi-wavelength PA (MWPA) measurement of the collagen in bone, using the wavelength range of 1300–1800 nm, was investigated. First, the feasibility of this approach for detecting the collagen content of bone was demonstrated by means of numerical simulation. Then, ex vivo experiments were conducted on both animal and human bone specimens with different bone densities using the MWPA method. The relative collagen content was extracted and compared with the results of micro-computed tomography (micro-CT) and histology. The results showed that the “relative collagen content” parameter obtained using the MWPA approach correlated well with the bone volume ratio obtained from micro-CT images and histological analysis results. This study highlights the potential of the proposed PA technique for determining the collagen content of bones as a biomarker for bone health assessment. © 2021 The Author(s)","Elsevier GmbH","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Aref M.H.; Youssef A.-B.M.; Aboughaleb I.H.; El-Sharkawy Y.H.","Aref, Mohamed H. (57217856566); Youssef, Abou-Bakr M. (57208412817); Aboughaleb, Ibrahim H. (57197147465); El-Sharkawy, Yasser H. (8561841200)","57217856566; 57208412817; 57197147465; 8561841200","Characterization of normal and malignant breast tissues utilizing hyperspectral images and associated differential spectrum algorithm","2021","Journal of Biomedical Photonics and Engineering","7","2","020302","","","","10.18287/JBPE21.07.020302","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111627706&doi=10.18287%2fJBPE21.07.020302&partnerID=40&md5=77b08f6f61eb1eff1f420360396e52fa","Breast malignancy is the most pervasive disease and a significant reason for death in women around the world. Recently, Photonic technologies play a vital role in medical applications. This study presents an outline of recent outcomes on the magnitude of breast tissue optical properties. We established an optical system setup utilizing a hyperspectral (HS) camera with poly-chromatic source lights with wavelength (380~1050 nm) for this investigation. Measuring the diffuse reflection (Rd) of the investigated ex vivo breast sample to select the optimum spectral image to differentiate between the normal and tumor in the near infra-red and visible (NIR-VIS) spectrum. Finally, applying the custom algorithm to increase the image contrast and applying contour delineation of the malignant regions. The experimental analysis indicates key spectroscopic variations between normal tissue and malignant region in range (550~650 nm). Although, after data normalization, there was noticeable variation at three ranges (630-680 nm), (720-770 nm), and (830-880 nm). The calculated standard deviation (Şd) between the normal and cancer tissue to validate the selective ranges shows that the highest contrast at wavelength 680 nm. However, the histogram analysis illustrates that the spectral image at 600 nm was higher contrast and wavelength 400 nm was the lowest contrast from the select seven-spectral images (400, 500, 600, 700, 800, 900, 1000 nm) to avoid the processing time of the captured HS 128-frames. The proposed potential method could provide promising results on the investigated breast sample optical properties in the diagnostic applications to assist the pathologist and the surgeon. Where the optimum wavelength at 680 nm for diagnostic applications and the ideal spectral image at 600 nm discriminate between the normal and malignant tissue. © 2021 Journal of Biomedical Photonics & Engineering.","Samara National Research University","Article","All Open Access; Gold Open Access","Scopus"
"Huang J.; Wang C.; Lin M.; Zeng F.; Wu S.","Huang, Jing (56150208500); Wang, Chao (57222902752); Lin, Mingang (57204847557); Zeng, Fang (7202911280); Wu, Shuizhu (7407181724)","56150208500; 57222902752; 57204847557; 7202911280; 7407181724","Synthesis of NQO1-activatable Optoacoustic Probe and Its Imaging of Breast Cancer; [醌氧化还原酶响应型光声探针的合成及其对乳腺癌的成像]","2021","Acta Chimica Sinica","79","3","","331","337","6","10.6023/A20100459","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104180212&doi=10.6023%2fA20100459&partnerID=40&md5=bf1463699b8e10b8dedd9345f5de7b05","NAD(P)H:quinone oxidoreductase-1 (NQO1) is a cytosolic two-electron-specific reductase whose abnormal expression is associated with breast cancer, and NQO1 has been regarded as an important biomarker for monitoring the occurrence and development of breast tumors. Although there are some research reports involving fluorescent probes for imaging NQO1 in vivo, they generally suffer from the strong light scattering by tissues which would cause the spatial resolution of fluorescent signals degrade rapidly with imaging depth. On the other hand, as an emerging detection and imaging modality, optoacoustic tomography (OAT) is capable of providing more detailed information in deep biological tissues than fluorescent imaging, since in OAT ultrasound signals are the reporting signals. To overcome the inherent defects of fluorescent imaging, in this work, we developed a novel near-infrared (NIR) NQO1-activatable optoacoustic (OA) probe TPA-X-Q based on the push-pull internal charge transfer (ICT) scaffold. TPA-X-Q consists of a NQO1-responsive moiety, quinone propionate group and a NIR chromophore TPA-X-OH. In the absence of the enzyme NQO1, the probe displays nearly no noticeable OA signal upon NIR excitation. Whereas in the presence of NQO1, the quinone propionate group of TPA-X-Q is reduced and cleaved by the enzymatic reaction triggered by NQO1, and thus TPA-X-Q is transformed into TPA-X-OH, consequently evident OA signal is generated, thereby realizing the detection and imaging of NQO1. As for the probe, the limit of detection (LOD) is determined to be 0.193 μg•mL -1. Furthermore, the probe TPA-X-Q displays several advantages, such as quite good selectivity towards NQO1, low cytotoxicity and excellent photostability. Moreover, the probe has been successfully utilized to detect and image the overexpressed NQO1 in the breast cancer-bearing mouse model. Orthogonal-view three-dimensional (3D) images can also be obtained by using multispectral optoacoustic tomography (MSOT), and thus precise localization of the breast cancer tumors can be achieved. This probe holds great potential for being employed as an efficacious tool for diagnosing breast cancer via responding to NQO1. © 2021 Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences.","Science Press","Article","All Open Access; Bronze Open Access","Scopus"
"Ochoa M.; Smith J.T.; Gao S.; Intes X.","Ochoa, Marien (57202337416); Smith, Jason T. (57213084482); Gao, Shan (57223889970); Intes, Xavier (57203080930)","57202337416; 57213084482; 57223889970; 57203080930","Computational macroscopic lifetime imaging and concentration unmixing of autofluorescence","2022","Journal of Biophotonics","15","12","e202200133","","","","10.1002/jbio.202200133","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135853375&doi=10.1002%2fjbio.202200133&partnerID=40&md5=f488ded528c945a88f842b1f8c66dc3a","Single-pixel computational imaging can leverage highly sensitive detectors that concurrently acquire data across spectral and temporal domains. For molecular imaging, such methodology enables to collect rich intensity and lifetime multiplexed fluorescence datasets. Herein we report on the application of a single-pixel structured light-based platform for macroscopic imaging of tissue autofluorescence. The super-continuum visible excitation and hyperspectral single-pixel detection allow for parallel characterization of autofluorescence intensity and lifetime. Furthermore, we exploit a deep learning based data processing pipeline, to perform autofluorescence unmixing while yielding the autofluorophores' concentrations. The full scheme (setup and processing) is validated in silico and in vitro with clinically relevant autofluorophores flavin adenine dinucleotide, riboflavin, and protoporphyrin. The presented results demonstrate the potential of the methodology for macroscopically quantifying the intensity and lifetime of autofluorophores, with higher specificity for cases of mixed emissions, which are ubiquitous in autofluorescence and multiplexed in vivo imaging. © 2022 Wiley-VCH GmbH.","John Wiley and Sons Inc","Article","","Scopus"
"Noack A.-K.; Lucas H.; Chytil P.; Etrych T.; Mäder K.; Mueller T.","Noack, Anne-Kathrin (57218585818); Lucas, Henrike (57132321600); Chytil, Petr (6505962722); Etrych, Tomáš (6603427562); Mäder, Karsten (7005530663); Mueller, Thomas (57208371954)","57218585818; 57132321600; 6505962722; 6603427562; 7005530663; 57208371954","Intratumoral distribution and ph-dependent drug release of high molecular weight hpma copolymer drug conjugates strongly depend on specific tumor substructure and microenvironment","2020","International Journal of Molecular Sciences","21","17","6029","1","19","18","10.3390/ijms21176029","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089687204&doi=10.3390%2fijms21176029&partnerID=40&md5=82bfe1b01cd82c6190171b0ee80319bc","Stimulus-sensitive polymer drug conjugates based on high molecular weight N-(2-hydroxypropyl) methacrylamide (HPMA) copolymers carrying doxorubicin via a pH-dependent cleavable bond (pHPMA-Dox) were previously shown to be able to overcome multi-drug resistance. Nevertheless, a tumor type dependent differential response was observed. Although an improved and more selective tumor accumulation of pHPMA-Dox is generally achieved due to the enhanced permeability and retention (EPR) effect, little is known about the fate of these conjugates upon entering the tumor tissue, which could explain the different responses. In this study, we compared in vitro and in vivo accumulation and Dox-activation of pHPMA-Dox in three cancer cell line models (1411HP, A2780cis, HT29) and derived xenografttumors using a near-infrared fluorescence-labeledpHPMA-Dox conjugate. Firstly, cytotoxicity assays using different pH conditions proved a stepwise, pH-dependent increase in cytotoxic activity and revealed comparable sensitivity among the cell lines. Using multispectral fluorescence microscopy, we were able to track the distribution of drug and polymeric carrier simultaneously on cellular and histological levels. Microscopic analyses of cell monolayers confirmed the assumed mechanism of cell internalization of the whole conjugate followed by intracellular cleavage and nuclear accumulation of Dox in all three cell lines. In contrast, intratumoral distribution and drug release in xenografttumors were completely different and were associated with different tissue substructures and microenvironments analyzed by Azan-and Hypoxisense®-staining. In 1411HP tumors, large vessels and less hypoxic/acidic microenvironments were associated with a pattern resulting from consistent tissue distribution and cellular uptake as whole conjugate followed by intracellular drug release. In A2780cis tumors, an inconsistent pattern of distribution partly resulting from premature drug release was associated with a more hypoxic/acidic microenvironment, compacted tumor tissue with compressed vessels and specific pre-damaged tissue structures. A completely different distribution pattern was observed in HT29 tumors, resulting from high accumulation of polymer in abundant fibrotic structures, with small embedded vessels featuring this tumor type together with pronounced premature drug release due to the strongly hypoxic/acidic microenvironment. In conclusion, the pattern of intratumoral distribution and drug release strongly depends on the tumor substructure and microenvironment and may result in different degrees of therapeutic efficacy. This reflects the pronounced heterogeneity observed in the clinical application of nanomedicines and can be exploited for the future design of such conjugates. © 2020 by the authors.Licensee MDPI, Basel, Switzerland.","MDPI AG","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Kuzmina I.; Oshina I.; Dambite L.; Lukinsone V.; Maslobojeva A.; Berzina A.; Spigulis J.","Kuzmina, Ilona (6603162590); Oshina, Ilze (56658684800); Dambite, Laura (57217310327); Lukinsone, Vanesa (55243380400); Maslobojeva, Anna (57211515905); Berzina, Anna (50061061700); Spigulis, Janis (6701538503)","6603162590; 56658684800; 57217310327; 55243380400; 57211515905; 50061061700; 6701538503","Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination","2022","Journal of Biomedical Optics","27","2","026004","","","","10.1117/1.JBO.27.2.026004","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125156715&doi=10.1117%2f1.JBO.27.2.026004&partnerID=40&md5=95ed9d4da959e128c995f44d3e6c71e1","Significance: Multispectral imaging enables mapping of chromophore content changes in skin neoplasms, which helps to diagnose a pathology. Different types of light sources can be used for the imaging. Design of laser-based illuminators is more complicated and, consequently, they are more expensive than LED-based illuminators. On the other hand, spectral line illumination has the advantage of less complicated calculations, since only the discrete maximum wavelengths need to be considered. Spectral band and spectral line approaches for multispectral skin diagnostics have not been compared so far. This can help to evaluate the accuracy and effectiveness of both approaches. Aim: To compare two specific illumination modalities - spectral band and spectral line illumination - from the point of performance for mapping of in vivo skin chromophores. Approach: Three spectral images of the same skin malformations were captured by a smartphone RGB camera with two different add-on illuminators comprising LED emitters and laser emitters, respectively. Five types of benign skin neoplasms were included in our study. Concentrations of skin melanin, oxy- and deoxy-hemoglobin at image pixel groups were calculated using the Beer-Lambert law. Results: Skin chromophore maps and statistical analysis of mean concentrations' changes in the neoplasms compared to the surrounding skin are presented and discussed. The data of the laser emitters led to significantly higher (∼10 times) increase of the oxy-hemoglobin values in vascular neoplasms and much lower deoxy-hemoglobin values, if compared to the data obtained by the LED emitters. Conclusions: Analysis of the obtained chromophore distribution maps and concentration variations in neoplasms led to conclusion that the spectral line illumination approach is more appropriate for this application. Considering only the peak wavelengths of illumination spectral bands leads to essentially different results if compared to those obtained by spectral line illumination and may cause misinterpretations in the clinical assessment of skin neoplasms.  © 2021 The Authors. Published by SPIE under a Creative Commons Attribution 4.0 International License.","SPIE","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Schmidt A.; Liebelt G.; Nießner F.; von Woedtke T.; Bekeschus S.","Schmidt, Anke (35337955400); Liebelt, Grit (57219255588); Nießner, Felix (57197706085); von Woedtke, Thomas (55946455100); Bekeschus, Sander (55693923800)","35337955400; 57219255588; 57197706085; 55946455100; 55693923800","Gas plasma-spurred wound healing is accompanied by regulation of focal adhesion, matrix remodeling, and tissue oxygenation","2021","Redox Biology","38","","101809","","","","10.1016/j.redox.2020.101809","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097433670&doi=10.1016%2fj.redox.2020.101809&partnerID=40&md5=bb1eed63abe22f321b5e025c6dc0fd4d","In response to injury, efficient migration of skin cells to rapidly close the wound and restore barrier function requires a range of coordinated processes in cell spreading and migration. Gas plasma technology produces therapeutic reactive species that promote skin regeneration by driving proliferation and angiogenesis. However, the underlying molecular mechanisms regulating gas plasma-aided cell adhesion and matrix remodeling essential for wound closure remain elusive. Here, we combined in vitro analyses in primary dermal fibroblasts isolated from murine skin with in vivo studies in a murine wound model to demonstrate that gas plasma treatment changed phosphorylation of signaling molecules such as focal adhesion kinase and paxillin α in adhesion-associated complexes. In addition to cell spreading and migration, gas plasma exposure affected cell surface adhesion receptors (e.g., integrinα5β1, syndecan 4), structural proteins (e.g., vinculin, talin, actin), and transcription of genes associated with differentiation markers of fibroblasts-to-myofibroblasts and epithelial-to-mesenchymal transition, cellular protrusions, fibronectin fibrillogenesis, matrix metabolism, and matrix metalloproteinase activity. Finally, we documented that gas plasma exposure increased tissue oxygenation and skin perfusion during ROS-driven wound healing. Altogether, these results provide critical insights into the molecular machinery of gas plasma-assisted wound healing mechanisms. © 2020 The Author(s)","Elsevier B.V.","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Khoobehi B.; Wafapoor H.; Eaton A.; Liu R.; Firn K.; Kubilay T.","Khoobehi, Bahram (7004710007); Wafapoor, Hussein (6602351652); Eaton, Alexander (36977482500); Liu, Ruixue (57686046400); Firn, Kim (57194394831); Kubilay, Tara (57687867800)","7004710007; 6602351652; 36977482500; 57686046400; 57194394831; 57687867800","Noninvasive Measurement of Oxygen Saturation in Human Retinal Blood Vessels and Tissues With Multispectral Confocal Imaging","2022","Ophthalmic Surgery Lasers and Imaging Retina","53","5","","275","283","8","10.3928/23258160-20220420-01","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130039283&doi=10.3928%2f23258160-20220420-01&partnerID=40&md5=60416debb90434a572b4b4f2142b60df","BACKGROUND AND OBJECTIVE: Proof of concept for the first system of noninvasive human retinal vessel and tissue oxygenation measurement in axial and radial directions. MATERIALS AND METHODS: A confocal imaging system capable of calculating and mapping relative retinal blood oxygenation in radial and axial directions from three eyes of two healthy subjects was built. The relationship between oxygenation and retinal depth in vivo was analyzed to illustrate application of this novel system. RESULTS: The system shows capacity for measuring oxygenation along retinal depth for the first time. (1) Arteriovenous oxygenation difference decreases with blood vessel diameter. (2) Artery-tissue oxygenation difference is greater than vein-tissue oxygenation difference in the same region. (3) Intravascular-extravascular oxygenation difference decreases with blood vessel diameter. (4) Oxygenation data reported with a 95% CI are as follows: A1 91.5% ± 18.2%, V1 32.8% ± 18.6%, A2 97.3% ± 17.8%, V2 64.4% ± 11.2%, A3 73.2% ± 19.1%, V3 52.9% ± 15.3%, and Tissue 56.6% ± 00.4%. CONCLUSION: This article demonstrates proof of concept for retinal oxygenation calculation in radial and axial dimensions for the first time. Initial results provide biological validity to this method. Future aims include further characterization of this system’s results in healthy subjects and subsequent comparison of oxygenation between diseased and healthy retinae. © Ophthalmic Surgery, Lasers & Imaging Retina.","Slack Incorporated","Article","","Scopus"
