PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33865183","Hyperspectral image-based analysis of thermal damage for ex-vivo bovine liver utilizing radiofrequency ablation","Aref MH, Aboughaleb IH, Youssef AM, El-Sharkawy YH.","Surg Oncol. 2021 Sep;38:101564. doi: 10.1016/j.suronc.2021.101564. Epub 2021 Apr 7.","Aref MH","Surg Oncol","2021","2021/04/17","","","10.1016/j.suronc.2021.101564"
"34889065","In vivo detection of head and neck tumors by hyperspectral imaging combined with deep learning methods","Eggert D, Bengs M, Westermann S, Gessert N, Gerstner AOH, Mueller NA, Bewarder J, Schlaefer A, Betz C, Laffers W.","J Biophotonics. 2022 Mar;15(3):e202100167. doi: 10.1002/jbio.202100167. Epub 2021 Dec 28.","Eggert D","J Biophotonics","2022","2021/12/10","","","10.1002/jbio.202100167"
"17627478","Developments in quantitative oxygen-saturation imaging of breast tissue in vivo using multispectral near-infrared tomography","Srinivasan S, Pogue BW, Carpenter C, Jiang S, Wells WA, Poplack SP, Kaufman PA, Paulsen KD.","Antioxid Redox Signal. 2007 Aug;9(8):1143-56. doi: 10.1089/ars.2007.1643.","Srinivasan S","Antioxid Redox Signal","2007","2007/07/14","","","10.1089/ars.2007.1643"
"27403639","In-vivo multispectral video endoscopy towards in-vivo hyperspectral video endoscopy","Hohmann M, Kanawade R, Klämpfl F, Douplik A, Mudter J, Neurath MF, Albrecht H.","J Biophotonics. 2017 Apr;10(4):553-564. doi: 10.1002/jbio.201600021. Epub 2016 Jul 12.","Hohmann M","J Biophotonics","2017","2016/07/13","","","10.1002/jbio.201600021"
"31946258","Hyperspectral imaging for thermal effect monitoring in in vivo liver during laser ablation","Landro M, Saccomandi P, Barberio M, Schena E, Marescaux MJ, Diana M.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:1851-1854. doi: 10.1109/EMBC.2019.8856487.","Landro M","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8856487"
"34976580","Review on Optical Imaging Techniques for Multispectral Analysis of Nanomaterials","Lee H, Kim J, Kim HH, Kim CS, Kim J.","Nanotheranostics. 2022 Jan 1;6(1):50-61. doi: 10.7150/ntno.63222. eCollection 2022.","Lee H","Nanotheranostics","2022","2022/01/03","PMC8671957","","10.7150/ntno.63222"
"35629886","Review on Multispectral Photoacoustic Analysis of Cancer: Thyroid and Breast","Han S, Lee H, Kim C, Kim J.","Metabolites. 2022 Apr 22;12(5):382. doi: 10.3390/metabo12050382.","Han S","Metabolites","2022","2022/05/28","PMC9143964","","10.3390/metabo12050382"
"36503709","Imaging perfusion changes in oncological clinical applications by hyperspectral imaging: a literature review","Hren R, Sersa G, Simoncic U, Milanic M.","Radiol Oncol. 2022 Dec 13;56(4):420-429. doi: 10.2478/raon-2022-0051. eCollection 2022 Dec 1.","Hren R","Radiol Oncol","2022","2022/12/12","PMC9784371","","10.2478/raon-2022-0051"
"29654114","Multimodal imaging approach to monitor browning of adipose tissue in vivo","Chan XHD, Balasundaram G, Attia ABE, Goggi JL, Ramasamy B, Han W, Olivo M, Sugii S.","J Lipid Res. 2018 Jun;59(6):1071-1078. doi: 10.1194/jlr.D083410. Epub 2018 Apr 13.","Chan XHD","J Lipid Res","2018","2018/04/15","PMC5983400","","10.1194/jlr.D083410"
"26864497","Hyperspectral imaging of nanoparticles in biological samples: Simultaneous visualization and elemental identification","Peña Mdel P, Gottipati A, Tahiliani S, Neu-Baker NM, Frame MD, Friedman AJ, Brenner SA.","Microsc Res Tech. 2016 May;79(5):349-58. doi: 10.1002/jemt.22637. Epub 2016 Feb 11.","Peña Mdel P","Microsc Res Tech","2016","2016/02/12","","","10.1002/jemt.22637"
"33918935","Over 1000 nm Near-Infrared Multispectral Imaging System for Laparoscopic In Vivo Imaging","Takamatsu T, Kitagawa Y, Akimoto K, Iwanami R, Endo Y, Takashima K, Okubo K, Umezawa M, Kuwata T, Sato D, Kadota T, Mitsui T, Ikematsu H, Yokota H, Soga K, Takemura H.","Sensors (Basel). 2021 Apr 9;21(8):2649. doi: 10.3390/s21082649.","Takamatsu T","Sensors (Basel)","2021","2021/04/30","PMC8069262","","10.3390/s21082649"
"33716586","A hyperspectral imaging system for mapping haemoglobin and cytochrome-c-oxidase concentration changes in the exposed cerebral cortex","Giannoni L, Lange F, Sajic M, Smith KJ, Tachtsidis I.","IEEE J Sel Top Quantum Electron. 2021 Jan 22;27(4):7400411. doi: 10.1109/JSTQE.2021.3053634. eCollection 2021 Jul-Aug.","Giannoni L","IEEE J Sel Top Quantum Electron","2021","2021/03/15","PMC7116887","EMS117319","10.1109/JSTQE.2021.3053634"
"36733734","Visible near-infrared hyperspectral imaging and supervised classification for the detection of small intestinal necrosis tissue in vivo","Zhang L, Huang D, Chen X, Zhu L, Chen X, Xie Z, Huang G, Gao J, Shi W, Cui G.","Biomed Opt Express. 2022 Oct 27;13(11):6061-6080. doi: 10.1364/BOE.470202. eCollection 2022 Nov 1.","Zhang L","Biomed Opt Express","2022","2023/02/03","PMC9872898","","10.1364/BOE.470202"
"24815987","Polarization-sensitive hyperspectral imaging in vivo: a multimode dermoscope for skin analysis","Vasefi F, MacKinnon N, Saager RB, Durkin AJ, Chave R, Lindsley EH, Farkas DL.","Sci Rep. 2014 May 12;4:4924. doi: 10.1038/srep04924.","Vasefi F","Sci Rep","2014","2014/05/13","PMC4017245","","10.1038/srep04924"
"23502247","Progress in molecular imaging in endoscopy and endomicroscopy for cancer imaging","Khondee S, Wang TD.","J Healthc Eng. 2013;4(1):1-22. doi: 10.1260/2040-2295.4.1.1.","Khondee S","J Healthc Eng","2013","2013/03/19","PMC4224106","NIHMS629572","10.1260/2040-2295.4.1.1"
"25120175","Quantitative short-wave infrared multispectral imaging of in vivo tissue optical properties","Wilson RH, Nadeau KP, Jaworski FB, Rowland R, Nguyen JQ, Crouzet C, Saager RB, Choi B, Tromberg BJ, Durkin AJ.","J Biomed Opt. 2014 Aug;19(8):086011. doi: 10.1117/1.JBO.19.8.086011.","Wilson RH","J Biomed Opt","2014","2014/08/15","PMC4407665","","10.1117/1.JBO.19.8.086011"
"28534815","Multispectral, Fluorescent and Photoplethysmographic Imaging for Remote Skin Assessment","Spigulis J.","Sensors (Basel). 2017 May 19;17(5):1165. doi: 10.3390/s17051165.","Spigulis J","Sensors (Basel)","2017","2017/05/24","PMC5470910","","10.3390/s17051165"
"35154881","Photoacoustic imaging of periorbital skin cancer ex vivo: unique spectral signatures of malignant melanoma, basal, and squamous cell carcinoma","Stridh MT, Hult J, Merdasa A, Albinsson J, Pekar-Lukacs A, Gesslein B, Dahlstrand U, Engelsberg K, Berggren J, Cinthio M, Sheikh R, Malmsjö M.","Biomed Opt Express. 2021 Dec 17;13(1):410-425. doi: 10.1364/BOE.443699. eCollection 2022 Jan 1.","Stridh MT","Biomed Opt Express","2021","2022/02/14","PMC8803040","","10.1364/BOE.443699"
"19021344","Multispectral confocal microendoscope for in vivo and in situ imaging","Makhlouf H, Gmitro AF, Tanbakuchi AA, Udovich JA, Rouse AR.","J Biomed Opt. 2008 Jul-Aug;13(4):044016. doi: 10.1117/1.2950313.","Makhlouf H","J Biomed Opt","2008","2008/11/22","PMC4822696","NIHMS773593","10.1117/1.2950313"
"25904317","Label-free in vivo imaging of peripheral nerve by multispectral photoacoustic tomography","Li R, Phillips E, Wang P, Goergen CJ, Cheng JX.","J Biophotonics. 2016 Jan;9(1-2):124-8. doi: 10.1002/jbio.201500004. Epub 2015 Apr 22.","Li R","J Biophotonics","2016","2015/04/24","","","10.1002/jbio.201500004"
"32630827","In Vivo Dual-Modal Photoacoustic and Ultrasound Imaging of Sentinel Lymph Nodes Using a Solid-State Dye Laser System","Han M, Choi W, Ahn J, Ryu H, Seo Y, Kim C.","Sensors (Basel). 2020 Jul 2;20(13):3714. doi: 10.3390/s20133714.","Han M","Sensors (Basel)","2020","2020/07/08","PMC7374351","","10.3390/s20133714"
"24228210","Multispectral Photoacoustic Imaging of Prostate Cancer: Preliminary Ex-vivo Results","Dogra VS, Chinni BK, Valluru KS, Joseph JV, Ghazi A, Yao JL, Evans K, Messing EM, Rao NA.","J Clin Imaging Sci. 2013 Sep 30;3:41. doi: 10.4103/2156-7514.119139. eCollection 2013.","Dogra VS","J Clin Imaging Sci","2013","2013/11/15","PMC3814905","","10.4103/2156-7514.119139"
"22879024","Calibration and validation scheme for in vivo spectroscopic imaging of tissue oxygenation","Litorja M, Chang R, Hwang J, Allen DW, Zuzak K, Wehner E, Best S, Livingston E, Cadeddu J.","Adv Exp Med Biol. 2013;765:123-129. doi: 10.1007/978-1-4614-4989-8_18.","Litorja M","Adv Exp Med Biol","2013","2012/08/11","","","10.1007/978-1-4614-4989-8_18"
"36157597","Label-free hyperspectral imaging and deep-learning prediction of retinal amyloid β-protein and phosphorylated tau","Du X, Koronyo Y, Mirzaei N, Yang C, Fuchs DT, Black KL, Koronyo-Hamaoui M, Gao L.","PNAS Nexus. 2022 Aug 19;1(4):pgac164. doi: 10.1093/pnasnexus/pgac164. eCollection 2022 Sep.","Du X","PNAS Nexus","2022","2022/09/26","PMC9491695","","10.1093/pnasnexus/pgac164"
"35887901","Comparison of Hyperspectral Imaging and Microvascular Doppler for Perfusion Monitoring of Free Flaps in an In Vivo Rodent Model","Becker P, Blatt S, Pabst A, Heimes D, Al-Nawas B, Kämmerer PW, Thiem DGE.","J Clin Med. 2022 Jul 16;11(14):4134. doi: 10.3390/jcm11144134.","Becker P","J Clin Med","2022","2022/07/27","PMC9321983","","10.3390/jcm11144134"
"35094356","In Vivo Imaging of Implanted Hyaluronic Acid Hydrogel Biodegradation","Kuddannaya S, Zhu W, Bulte JWM.","Methods Mol Biol. 2022;2394:743-765. doi: 10.1007/978-1-0716-1811-0_39.","Kuddannaya S","Methods Mol Biol","2022","2022/01/30","PMC9412242","NIHMS1830763","10.1007/978-1-0716-1811-0_39"
"29246829","Hyperspectral imaging for label-free in vivo identification of myocardial scars and sites of radiofrequency ablation lesions","Swift LM, Asfour H, Muselimyan N, Larson C, Armstrong K, Sarvazyan NA.","Heart Rhythm. 2018 Apr;15(4):564-575. doi: 10.1016/j.hrthm.2017.12.014. Epub 2017 Dec 12.","Swift LM","Heart Rhythm","2018","2017/12/17","PMC5879007","NIHMS927432","10.1016/j.hrthm.2017.12.014"
"34295724","Ex vivo validation of a real-time multispectral endoscopic system for the detection and biopsy of bladder tumors","Grüne B, Rother J, Waldbillig F, Chellappan G, Meessen S, Grychtol B, Deliolanis NC, Bolenz C, Kriegmair MC.","Transl Androl Urol. 2021 Jun;10(6):2373-2383. doi: 10.21037/tau-20-1372.","Grüne B","Transl Androl Urol","2021","2021/07/23","PMC8261439","","10.21037/tau-20-1372"
"25071962","In vivo hyperspectral imaging of microvessel response to trastuzumab treatment in breast cancer xenografts","McCormack DR, Walsh AJ, Sit W, Arteaga CL, Chen J, Cook RS, Skala MC.","Biomed Opt Express. 2014 Jun 16;5(7):2247-61. doi: 10.1364/BOE.5.002247. eCollection 2014 Jul 1.","McCormack DR","Biomed Opt Express","2014","2014/07/30","PMC4102362","","10.1364/BOE.5.002247"
"22126413","Frontiers in bronchoscopic imaging","Ohtani K, Lee AM, Lam S.","Respirology. 2012 Feb;17(2):261-9. doi: 10.1111/j.1440-1843.2011.02108.x.","Ohtani K","Respirology","2012","2011/12/01","","","10.1111/j.1440-1843.2011.02108.x"
"26855467","Estimation of Tissue Optical Parameters with Hyperspectral Imaging and Spectral Unmixing","Lu G, Qin X, Wang D, Chen ZG, Fei B.","Proc SPIE Int Soc Opt Eng. 2015 Mar 17;9417:94170Q. doi: 10.1117/12.2082299.","Lu G","Proc SPIE Int Soc Opt Eng","2015","2016/02/09","PMC4737955","NIHMS716028","10.1117/12.2082299"
"23179880","Optical and opto-acoustic imaging","Ntziachristos V, Razansky D.","Recent Results Cancer Res. 2013;187:133-50. doi: 10.1007/978-3-642-10853-2_4.","Ntziachristos V","Recent Results Cancer Res","2013","2012/11/27","","","10.1007/978-3-642-10853-2_4"
"30462028","Hyperspectral imaging system based on a single-pixel camera design for detecting differences in tissue properties","Peller J, Farahi F, Trammell SR.","Appl Opt. 2018 Sep 20;57(27):7651-7658. doi: 10.1364/AO.57.007651.","Peller J","Appl Opt","2018","2018/11/22","","","10.1364/AO.57.007651"
"35427984","Characterisation of chemical damage on tissue structures by multispectral imaging and machine learning procedures: Alkaline hypochlorite effect in C. elegans","Verdú S, Fuentes C, Barat JM, Grau R.","Comput Biol Med. 2022 Jun;145:105477. doi: 10.1016/j.compbiomed.2022.105477. Epub 2022 Apr 7.","Verdú S","Comput Biol Med","2022","2022/04/15","","","10.1016/j.compbiomed.2022.105477"
"36175393","In vivo spectroscopy: optical fiber probes for clinical applications","Barik AK, M SP, Lukose J, Upadhya R, Pai MV, Kartha VB, Chidangil S.","Expert Rev Med Devices. 2022 Sep;19(9):657-675. doi: 10.1080/17434440.2022.2130046. Epub 2022 Oct 8.","Barik AK","Expert Rev Med Devices","2022","2022/09/29","","","10.1080/17434440.2022.2130046"
"28611203","Detection of Head and Neck Cancer in Surgical Specimens Using Quantitative Hyperspectral Imaging","Lu G, Little JV, Wang X, Zhang H, Patel MR, Griffith CC, El-Deiry MW, Chen AY, Fei B.","Clin Cancer Res. 2017 Sep 15;23(18):5426-5436. doi: 10.1158/1078-0432.CCR-17-0906. Epub 2017 Jun 13.","Lu G","Clin Cancer Res","2017","2017/06/15","PMC5649622","NIHMS911831","10.1158/1078-0432.CCR-17-0906"
"35414995","Band selection for oxygenation estimation with multispectral/hyperspectral imaging","Ayala L, Isensee F, Wirkert SJ, Vemuri AS, Maier-Hein KH, Fei B, Maier-Hein L.","Biomed Opt Express. 2022 Feb 3;13(3):1224-1242. doi: 10.1364/BOE.441214. eCollection 2022 Mar 1.","Ayala L","Biomed Opt Express","2022","2022/04/13","PMC8973188","","10.1364/BOE.441214"
"32838646","Multispectral Imaging for Automated Tissue Identification of Normal Human Surgical Specimens","Shenson JA, Liu GS, Farrell J, Blevins NH.","Otolaryngol Head Neck Surg. 2021 Feb;164(2):328-335. doi: 10.1177/0194599820941013. Epub 2020 Aug 25.","Shenson JA","Otolaryngol Head Neck Surg","2021","2020/08/26","","","10.1177/0194599820941013"
"31718983","Quantitative, real-time in vivo tracking of magnetic nanoparticles using multispectral optoacoustic tomography (MSOT) imaging","Anani T, Brannen A, Panizzi P, Duin EC, David AE.","J Pharm Biomed Anal. 2020 Jan 30;178:112951. doi: 10.1016/j.jpba.2019.112951. Epub 2019 Oct 25.","Anani T","J Pharm Biomed Anal","2020","2019/11/14","PMC9454293","NIHMS1542558","10.1016/j.jpba.2019.112951"
"27220626","Multispectral fluorescence imaging of human ovarian and fallopian tube tissue for early-stage cancer detection","Tate TH, Baggett B, Rice PF, Koevary JW, Orsinger GV, Nymeyer AC, Welge WA, Saboda K, Roe DJ, Hatch KD, Chambers SK, Utzinger U, Barton JK.","J Biomed Opt. 2016 May 1;21(5):56005. doi: 10.1117/1.JBO.21.5.056005.","Tate TH","J Biomed Opt","2016","2016/05/26","PMC5996865","","10.1117/1.JBO.21.5.056005"
"24848849","Preliminary results of ex vivo multispectral photoacoustic imaging in the management of thyroid cancer","Dogra VS, Chinni BK, Valluru KS, Moalem J, Giampoli EJ, Evans K, Rao NA.","AJR Am J Roentgenol. 2014 Jun;202(6):W552-8. doi: 10.2214/AJR.13.11433.","Dogra VS","AJR Am J Roentgenol","2014","2014/05/23","","","10.2214/AJR.13.11433"
"27208064","Current and Emerging Clinical Applications of Multispectral Optoacoustic Tomography (MSOT) in Oncology","McNally LR, Mezera M, Morgan DE, Frederick PJ, Yang ES, Eltoum IE, Grizzle WE.","Clin Cancer Res. 2016 Jul 15;22(14):3432-9. doi: 10.1158/1078-0432.CCR-16-0573. Epub 2016 May 20.","McNally LR","Clin Cancer Res","2016","2016/05/22","PMC5046137","NIHMS791724","10.1158/1078-0432.CCR-16-0573"
"35442884","Three-Dimensional Deep-Tissue Functional and Molecular Imaging by Integrated Photoacoustic, Ultrasound, and Angiographic Tomography (PAUSAT)","Li M, Beaumont N, Ma C, Rojas J, Vu T, Harlacher M, O'Connell G, Gessner RC, Kilian H, Kasatkina L, Chen Y, Huang Q, Shen X, Lovell JF, Verkhusha VV, Czernuszewicz T, Yao J.","IEEE Trans Med Imaging. 2022 Oct;41(10):2704-2714. doi: 10.1109/TMI.2022.3168859. Epub 2022 Sep 30.","Li M","IEEE Trans Med Imaging","2022","2022/04/20","PMC9563100","NIHMS1840010","10.1109/TMI.2022.3168859"
"34797988","Noninvasive and Highly Multiplexed Five-Color Tumor Imaging of Multicore Near-Infrared Resonant Surface-Enhanced Raman Nanoparticles In Vivo","Yu JH, Steinberg I, Davis RM, Malkovskiy AV, Zlitni A, Radzyminski RK, Jung KO, Chung DT, Curet LD, D'Souza AL, Chang E, Rosenberg J, Campbell J, Frostig H, Park SM, Pratx G, Levin C, Gambhir SS.","ACS Nano. 2021 Dec 28;15(12):19956-19969. doi: 10.1021/acsnano.1c07470. Epub 2021 Nov 19.","Yu JH","ACS Nano","2021","2021/11/19","PMC9012519","NIHMS1794741","10.1021/acsnano.1c07470"
"35340134","Multispectral snapshot imaging of skin microcirculatory hemoglobin oxygen saturation using artificial neural networks trained on in vivo data","Ewerlöf M, Strömberg T, Larsson M, Salerud EG.","J Biomed Opt. 2022 Mar;27(3):036004. doi: 10.1117/1.JBO.27.3.036004.","Ewerlöf M","J Biomed Opt","2022","2022/03/27","PMC8957373","","10.1117/1.JBO.27.3.036004"
"20868502","Multispectral fingerprinting for improved in vivo cell dynamics analysis","Kulesa PM, Teddy JM, Smith M, Alexander R, Cooper CH, Lansford R, McLennan R.","BMC Dev Biol. 2010 Sep 24;10:101. doi: 10.1186/1471-213X-10-101.","Kulesa PM","BMC Dev Biol","2010","2010/09/28","PMC2954993","","10.1186/1471-213X-10-101"
"26220210","Hyperspectral wide gap second derivative analysis for in vivo detection of cervical intraepithelial neoplasia","Zheng W, Wang C, Chang S, Zhang S, Xu RX.","J Biomed Opt. 2015 Dec;20(12):121303. doi: 10.1117/1.JBO.20.12.121303.","Zheng W","J Biomed Opt","2015","2015/07/30","","","10.1117/1.JBO.20.12.121303"
"34185675","Multiparametric Photoacoustic Analysis of Human Thyroid Cancers In Vivo","Kim J, Park B, Ha J, Steinberg I, Hooper SM, Jeong C, Park EY, Choi W, Liang T, Bae JS, Managuli R, Kim Y, Gambhir SS, Lim DJ, Kim C.","Cancer Res. 2021 Sep 15;81(18):4849-4860. doi: 10.1158/0008-5472.CAN-20-3334. Epub 2021 Jun 21.","Kim J","Cancer Res","2021","2021/06/29","","","10.1158/0008-5472.CAN-20-3334"
"23632536","Flexible endoscope for continuous in vivo multispectral fluorescence lifetime imaging","Cheng S, Rico-Jimenez JJ, Jabbour J, Malik B, Maitland KC, Wright J, Cheng YS, Jo JA.","Opt Lett. 2013 May 1;38(9):1515-7. doi: 10.1364/OL.38.001515.","Cheng S","Opt Lett","2013","2013/05/02","PMC3702045","NIHMS486575","10.1364/OL.38.001515"
"22435776","Longitudinal in vivo imaging to assess blood flow and oxygenation in implantable engineered tissues","White SM, Hingorani R, Arora RP, Hughes CC, George SC, Choi B.","Tissue Eng Part C Methods. 2012 Sep;18(9):697-709. doi: 10.1089/ten.TEC.2011.0744. Epub 2012 May 21.","White SM","Tissue Eng Part C Methods","2012","2012/03/23","PMC3427639","","10.1089/ten.TEC.2011.0744"
"22216767","Deep tissue optical and optoacoustic molecular imaging technologies for pre-clinical research and drug discovery","Razansky D, Deliolanis NC, Vinegoni C, Ntziachristos V.","Curr Pharm Biotechnol. 2012 Mar;13(4):504-22. doi: 10.2174/138920112799436258.","Razansky D","Curr Pharm Biotechnol","2012","2012/01/06","","","10.2174/138920112799436258"
"33383415","Dark-field hyperspectral microscopy for label-free microplastics and nanoplastics detection and identification in vivo: A Caenorhabditis elegans study","Nigamatzyanova L, Fakhrullin R.","Environ Pollut. 2021 Feb 15;271:116337. doi: 10.1016/j.envpol.2020.116337. Epub 2020 Dec 17.","Nigamatzyanova L","Environ Pollut","2021","2020/12/31","","","10.1016/j.envpol.2020.116337"
"26441646","Advances in optical imaging for pharmacological studies","Arranz A, Ripoll J.","Front Pharmacol. 2015 Sep 11;6:189. doi: 10.3389/fphar.2015.00189. eCollection 2015.","Arranz A","Front Pharmacol","2015","2015/10/07","PMC4566037","","10.3389/fphar.2015.00189"
