"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Supervised Framework for the Registration and Segmentation of White Matter Fiber Tracts","A. Mayer; G. Zimmerman-Moreno; R. Shadmi; A. Batikoff; H. Greenspan","Functional Brain Imaging Laboratory, Hadassa Medical Center, Hebrew University, Jerusalem, Israel; Medical Image Processing Laboratory, Biomedical Engineering Department, Tel-Aviv University, Tel-Aviv, Israel; Medical Image Processing Laboratory, Biomedical Engineering Department, Tel-Aviv University, Tel-Aviv, Israel; Applied Materials, Inc., Rehovot, Israel; Multimedia of Healthcare Group, IBM Almaden Research Center, San Jose, CA, USA","IEEE Transactions on Medical Imaging","30 Dec 2010","2011","30","1","131","145","A supervised framework is presented for the automatic registration and segmentation of white matter (WM) tractographies extracted from brain DT-MRI. The framework relies on the direct registration between the fibers, without requiring any intensity-based registration as preprocessing. An affine transform is recovered together with a set of segmented fibers. A recently introduced probabilistic boosting tree classifier is used in a segmentation refinement step to improve the precision of the target tract segmentation. The proposed method compares favorably with a state-of-the-art intensity-based algorithm for affine registration of DTI tractographies. Segmentation results for 12 major WM tracts are demonstrated. Quantitative results are also provided for the segmentation of a particularly difficult case, the optic radiation tract. An average precision of 80% and recall of 55% were obtained for the optimal configuration of the presented method.","1558-254X","","10.1109/TMI.2010.2067222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5549914","Brain;registration;segmentation;tractography;white matter fiber tracts","Biomedical image processing;Image segmentation;Diffusion tensor imaging;Biological materials;Biomedical materials;Biomedical engineering;Biomedical optical imaging;Surgery;Permission;Biomedical imaging","biomedical MRI;brain;image registration;image segmentation;medical image processing","image registration;image segmentation;white matter fiber tracts;white matter tractographies;brain DT-MRI;intensity-based registration;preprocessing;affine transform;probabilistic boosting tree classifier","Algorithms;Brain;Diffusion Magnetic Resonance Imaging;Diffusion Tensor Imaging;Image Enhancement;Image Processing, Computer-Assisted;Imaging, Three-Dimensional;Magnetic Resonance Imaging;Models, Anatomic;Models, Neurological;Nerve Fibers, Myelinated;Pattern Recognition, Automated;Reproducibility of Results;Sensitivity and Specificity","25","","42","IEEE","16 Aug 2010","","","IEEE","IEEE Journals"
"Registration and Fusion of Thermographic and Visual-Light Images in Neurosurgery","J. Müller; J. Müller; F. Chen; R. Tetzlaff; J. Müller; E. Böhl; M. Kirsch; C. Schnabel","Department of Electrical and Computer Engineering, Technische Universität Dresden, Dresden, Germany; Department of Electrical and Computer Engineering, Technische Universität Dresden, Dresden, Germany; Department of Electrical and Computer Engineering, Technische Universität Dresden, Dresden, Germany; Department of Electrical and Computer Engineering, Technische Universität Dresden, Dresden, Germany; Carl Gustav Carus Faculty of Medicine, Department of Anesthesiology and Intensive Care Medicine, Clinical Sensoring and Monitoring, Technische Universität Dresden, Fetscherstrase, Dresden, Germany; Carl Gustav Carus Faculty of Medicine, Department of Neurosurgery, Technische Universität Dresden, Dresden, Germany; Carl Gustav Carus Faculty of Medicine, Department of Neurosurgery, Technische Universität Dresden, Dresden, Germany; Carl Gustav Carus Faculty of Medicine, Department of Neurosurgery, Technische Universität Dresden, Dresden, Germany","IEEE Transactions on Biomedical Circuits and Systems","2 Jan 2019","2018","12","6","1313","1321","An intraoperative imaging system facilitating the localisation and characterisation of functional areas, pathological tissue, or perfusion disorders, could enormously support medical decisions during neurosurgical interventions and, thus, reduce the risk for the patients. To provide both structural and functional information of the brain tissue to the surgeon, a novel multimodal approach based on the measurement of long-wave infrared radiation and visual-light imaging is very promising. In this contribution, we discuss various methods for the registration and fusion of thermographic and visual-light images. The methods are evaluated quantitatively and qualitatively regarding their practicability during surgery. Furthermore, we introduce appropriate architectures for a digital hardware implementation of the registration and fusion algorithms. The designs are implemented on our reconfigurable intraoperative imaging system, revealing real-time processing performance.","1940-9990","","10.1109/TBCAS.2018.2856407","Free State of Saxony, Germany(grant numbers:100312752,100270108); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8454810","Brain surgery;infrared camera;image fusion;image processing;image registration;FPGA;high-level synthesis;thermography","Neurosurgery;Biomedical imaging;Measurement;Splines (mathematics);Brain models;Visualization;Image fusion","biological tissues;brain;haemorheology;image registration;infrared imaging;medical image processing;neurophysiology;surgery","visual-light images;functional areas;pathological tissue;perfusion disorders;medical decisions;neurosurgical interventions;structural information;functional information;brain tissue;visual-light imaging;thermographic images;fusion algorithms;reconfigurable intraoperative imaging system","Algorithms;Brain;Humans;Image Processing, Computer-Assisted;Neurosurgical Procedures;Surgery, Computer-Assisted;Thermography","11","","25","IEEE","5 Sep 2018","","","IEEE","IEEE Journals"
"Near-Infrared Window II Fluorescence Image-Guided Surgery of High-Grade Gliomas Prolongs the Progression-Free Survival of Patients","X. Shi; Z. Zhang; Z. Zhang; C. Cao; Z. Cheng; Z. Hu; J. Tian; N. Ji","School of Artificial Intelligence, University of Chinese Academy of Sciences, China; Department of Neurosurgery, Beijing Tiantan Hospital, Capital Medical University, China; Engineering Research Center of Molecular and Neuro Imaging of Ministry of Education, School of Life Science and Technology, Xidian University, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, China; Molecular Imaging Center, Shanghai Institute of Materia Medica, Chinese Academy of Sciences, Shanghai, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, School of Medicine, Beihang University, Beijing, China; China National Clinical Research Center for Neurological Diseases, Beijing, China","IEEE Transactions on Biomedical Engineering","19 May 2022","2022","69","6","1889","1900","Objective: This translational study aims to investigate the clinical benefits of indocyanine green (ICG) based near-infrared window II (NIR-II) fluorescence image-guided surgery (FGS) on high-grade glioma (HGG) patients. Methods: Patients were randomly assigned to receive FGS or traditional white light image-guided surgery (WLS). The detection rate of NIR-II fluorescence was observed. Complete resection rate, progression-free survival (PFS), overall survival (OS), and neurological status were compared. Tissue samples were obtained from the FGS group, with the diagnosis based on the surgeons and the fluorescence recorded for comparison of diagnostic capability. Patients with WHO grade III gliomas or glioblastomas (GBM) were analyzed separately. Results: 15 GBM and 4 WHO grade III glioma patients in the FGS group and 18 GBM and 4 WHO grade III glioma patients in the WLS group were enrolled. The detection rate of NIR-II fluorescence was 100% for GBM. The complete resection rate was significantly increased by the FGS for GBM (FGS, 100% [95% CI 73.41-100] vs. WLS, 50% [95% CI 29.03-70.97], P = 0.0036). The PFS and OS of the FGS group were also significantly prolonged (Median PFS: FGS, 9.0 months vs. WLS, 7.0 months, P < 0.0001; Median OS: FGS, 19.0 months vs. WLS, 15.5 months, P = 0.0002). No recurrence was observed in WHO grade III glioma patients. Conclusions: NIR-II FGS achieves a much better complete resection rate of GBM than conventional WLS, leading to greatly improved survival of GBM patients. Significance: NIR-II FGS is a highly promising technique worthy of exploring more clinical applications.","1558-2531","","10.1109/TBME.2021.3130195","National Key Research and Development Program of China(grant numbers:2017YFA0205200,2017YFC1309100); National Natural Science Foundation of China(grant numbers:62027901,81930053,92059207,81227901,81930048); Beijing Natural Science Foundation(grant numbers:JQ19027); Chinese Academy of Sciences(grant numbers:XDA16021200); Zhuhai High-level Health Personnel Team Project(grant numbers:HLHPTP201703); Capital characteristic clinical application project(grant numbers:Z181100001718196); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9626617","Near-infrared window II;fluorescence image-guided surgery;glioblastoma;indocyanine green","Imaging;Fluorescence;Tumors;Biomedical imaging;Molecular imaging;Neurosurgery;Image color analysis","biological tissues;biomedical optical imaging;brain;cancer;fluorescence;medical image processing;neurophysiology;patient diagnosis;surgery;tumours","complete resection rate;NIR-II FGS;GBM patients;high-grade gliomas;progression-free survival;translational study;near-infrared window II fluorescence image-guided surgery;high-grade glioma patients;traditional white light image-guided surgery;detection rate;NIR-II fluorescence;overall survival;indocyanine green;glioblastomas;time 9.0 month;time 7.0 month;time 19.0 month;time 15.5 month","Brain Neoplasms;Glioblastoma;Glioma;Humans;Progression-Free Survival;Surgery, Computer-Assisted","9","","31","CCBYNCND","24 Nov 2021","","","IEEE","IEEE Journals"
"Investigation of ultrasound image based correction of intraoperative brain shift","L. M. Bates; R. A. Robb","Biomedical Imaging Resource, Mayo Foundation, Rochester, MN, USA; Biomedical Imaging Resource, Mayo Foundation, Rochester, MN, USA","Proceedings 2nd Annual IEEE International Symposium on Bioinformatics and Bioengineering (BIBE 2001)","6 Aug 2002","2001","","","254","261","Stereotactic navigational systems are being incorporated into an increasing number of neurosurgical procedures. Preoperatively acquired 3D images are used for planning the procedure, and are also employed in intraoperative navigations to help localize and resect brain lesions. However, as the operation progresses, multiple factors contribute to changes that limit the accuracy of the navigation based on pre-operative images alone. Our method to correct for brain shift involves the use of ultrasound intraoperatively to update patient specific pre-operative MRI scans using a physics based dynamic model. To validate the imaging and modeling process, a phantom was designed that simulates the brain and its shifting patterns resulting from several of the clinical factors present during a brain operation. MRI and ultrasound datasets were acquired for several permutations of phantom parameters. Deformation algorithms were then applied to the phantom data to demonstrate the efficacy of this approach as a method to effectively update the pre-operatively acquired MRI data during an operation.","","0-7695-1423-5","10.1109/BIBE.2001.974437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=974437","","Ultrasonic imaging;Brain modeling;Navigation;Imaging phantoms;Magnetic resonance imaging;Deformable models;Mathematical model;Lesions;Neurosurgery;Surgery","brain;surgery;stereo image processing;biomedical ultrasonics;biomedical MRI;medical image processing","ultrasound image based correction;intraoperative brain shift;stereotactic navigational systems;neurosurgical procedures;preoperatively acquired 3D images;brain lesion resection;brain lesion localization;patient specific pre-operative MRI scan updating;physics based dynamic model;modeling;phantom;brain simulation;clinical factors;deformation algorithms","","2","","24","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"Automatic intra-operative localization of STN using the beta band frequencies of microelectrode recordings","K. P. Michmizos; G. L. Tagaris; D. E. Sakas; K. S. Nikita","Biomedical Simulations and Imaging Laboratory, National and Technical University of Athens, Athens, Greece; Department of Neurology, G. Gennimatas General Hospital of Athens, Athens, Greece; Parkinson's Disease Surgical Treatment Unit, Department of Neurosurgery, University of Athens (NKUA), Athens, Greece; Biomedical Simulations and Imaging Laboratory, National and Technical University of Athens, Athens, Greece","2008 8th IEEE International Conference on BioInformatics and BioEngineering","8 Dec 2008","2008","","","1","6","Deep brain stimulation (DBS) is considered a surgical treatment alternative for Parkinson disease (PD) patients with intractable tremor or for those patients who are affected by long-term complications of levodopa therapy such as motor fluctuations and severe dyskinesias. However, the susceptible accuracy of placement of the DBS electrode inside the brain nucleus determines the therapeutic efficacy of the method. Unlike normal cases, untreated Parkinsonian states in basal ganglia structures produce oscillations at various frequencies, the most prominent of which is a synchronization in the beta frequency band recorded in the subthalamic nucleus (STN). The actual frequency range and the strength of the beta peak vary among patients. We propose that an on-line spectral analysis of the population activity, as evidenced by microelectrode recordings (MERs) could form a neurophysiological biomarker for confirmation of the on-target placement of the electrode within the STN.","","978-1-4244-2844-1","10.1109/BIBE.2008.4696820","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4696820","Deep Brain Stimulation;Spectral Analysis;Parkinson disease","Frequency;Microelectrodes;Satellite broadcasting;Medical treatment;Electrodes;Brain stimulation;Surgery;Parkinson's disease;Fluctuations;Basal ganglia","bioelectric phenomena;biomedical electrodes;brain;diseases;neurophysiology;patient diagnosis;patient monitoring;patient treatment","intraoperative localization;beta band frequency;microelectrode recordings;deep brain stimulation;surgical treatment;Parkinson disease;levodopa therapy;motor fluctuation;dyskinesias;DBS electrode;brain nucleus;therapeutic efficacy;basal ganglia structures;beta frequency band synchronization;subthalamic nucleus;spectral analysis;neurophysiological biomarker","","4","","44","IEEE","8 Dec 2008","","","IEEE","IEEE Conferences"
"Intraoperative macroelectrode local field potential recordings in Essential Tremor","I. Telkes; G. Meloni; A. Sen; J. Shahed; A. Viswanathan; A. Abosch; N. F. Ince","Biomedical Engineering Department, University of Houston, Texas, USA; Biomedical Engineering Department, University of Houston, Texas, USA; Department of Neurological Surgery, Baylor College of Medicine, Houston, Texas, USA; Department of Neurological Surgery, Baylor College of Medicine, Houston, Texas, USA; Department of Neurological Surgery, Baylor College of Medicine, Houston, Texas, USA; Department of Neurosurgery, University of Colorado, Aurora, CO, USA; Biomedical Engineering Department, University of Houston, Texas, USA","2015 7th International IEEE/EMBS Conference on Neural Engineering (NER)","2 Jul 2015","2015","","","276","279","Essential Tremor (ET) is a common movement disorder involving the presence of action tremor. While there are pharmacological treatment options, Deep Brain stimulation (DBS) of the ventral intermediate nucleus (VIM) of the thalamus is an effective and widely used surgical therapy for those patients who are intolerant of, or whose tremor is unresponsive to, medications. In this study, we recorded local field potentials (LFPs) at various depths along the trajectory to Vim in three ET patients. LFP recordings at various depths were processed by a PCA based de-noising method to remove ECG artifacts. The spectral characteristics of LFPs were investigated via frequency-vs-depth maps using a modified Welch periodogram using robust statistics, and further analyzed within different sub-bands to determine whether LFP activity encodes characteristic patterns for the identification of disease-specific subcortical areas. Our results demonstrated that a median-based spectrum estimation approach eliminates outliers better than the traditional averaging technique by preserving band-specific LFP activity. Results indicate that there was clear oscillatory beta activity around 20 Hz in two subjects. One patient displayed relatively high gamma (40 Hz) activity in the sub-thalamic region. In conclusion, despite the small number of subjects, the present study adds to existing knowledge about LFP-based pathophysiology of ET and its target-based spectral activities.","1948-3554","978-1-4673-6389-1","10.1109/NER.2015.7146613","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7146613","","Satellite broadcasting;Electrodes;Electrocardiography;Surgery;Oscillators;Band-pass filters;Finite impulse response filters","bioelectric potentials;brain;electrocardiography;medical disorders;medical signal processing;neurophysiology;principal component analysis;signal denoising;surgery","intraoperative macroelectrode local field potential recordings;essential tremor;movement disorder;action tremor;pharmacological treatment;deep brain stimulation;ventral intermediate nucleus;thalamus;surgical therapy;ET patients;LFP recordings;PCA based denoising method;spectral characteristics;frequency-depth maps;Welch periodogram;robust statistics;disease-specific subcortical areas;median-based spectrum estimation approach;traditional averaging technique;band-specific LFP activity;oscillatory beta activity;high gamma activity;subthalamic region;LFP-based pathophysiology;target-based spectral activity;ECG artifacts","","1","","10","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"Brain wave measurement while touching task of a virtual arm for intuitive robotic surgery","S. Miura; J. Takazawa; Y. Kobayashi; T. Miyashita; M. G. Fujie; K. Kawamura","Waseda University, Tokyo, Japan; Waseda University, Tokyo, Japan; Waseda University, Tokyo, Japan; Waseda University, Tokyo, Japan; Waseda University, Tokyo, Japan; Chiba University, Chiba, Japan","2016 World Automation Congress (WAC)","6 Oct 2016","2016","","","1","6","This paper presents a novel evaluation method for designing an intuitive surgical robot by measuring a user's brain activity. Conventionally, surgical robots have been designed based on their mechanical performance. However, an improvement in a robot's mechanical performance does not necessarily represent the embodiment that the user feels. In this paper, we evaluate intuitive operability based on the user's brain activation. Previously, we used functional near-infrared spectroscopic-topography (fNIRS) brain imaging; however, it is better to use a brain measurement technique possessing a high time resolution, as brain activity is has a higher time resolution than fNIRS. The objective was to measure changes in brain activity as a function of a change in the slave arm positioning. In the experiment, the brain activity of four participants was measured using fNIRS while they used a hand controller to move the virtual arm of a surgical simulator. The experiment was carried out with the virtual arm in two positions: one easy to control and the other difficult. The spectrum of the brain activity increased at the easy position more than at the difficult position. We conclude that the brain activity changed as the user perceived that the virtual arm belonged to their body.","","978-1-8893-3551-3","10.1109/WAC.2016.7582953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7582953","EEG;fNIRS;Robotic Surgery;tele-operation","Brain;Surgery;Electroencephalography;Medical robotics;Atmospheric measurements;Particle measurements","electroencephalography;human-robot interaction;infrared spectroscopy;manipulators;medical robotics;position control;surgery","brain wave measurement;virtual arm touching task;intuitive robotic surgery;intuitive surgical robot;brain activity measurement;intuitive operability;slave arm positioning;fNIRS;functional near-infrared spectroscopic-topography;surgical simulator virtual arm;EEG","","2","","29","","6 Oct 2016","","","IEEE","IEEE Conferences"
"CMOS image sensor for recording of intrinsic-optical-signal of the brain","S. Shishido; Y. Oguro; T. Noda; K. Sasagawa; T. Tokuda; J. Ohta","Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan; Graduate School of Materials Science, Nara Institute of Science and Technology, Ikoma, Nara, Japan","2009 International SoC Design Conference (ISOCC)","4 Mar 2010","2009","","","190","193","Intrinsic optical signal (IOS) indicates activities of cerebral cortical neurons in the optical imaging method, which is one of the in vivo recording methods of activities of cerebral cortical neurons. We propose the IOS imaging method for craniotomy procedure such as diagnostic use of epilepsy surgery. We designed a prototype CMOS image sensor device using 0.35-¿m CMOS standard process for in vivo IOS imaging. The sensor device enables multi-functional recording of brain activities such as IOS, EEG, area image, electrical stimulation in order to improve reliability of diagnosis and allows simple measurement setup. Preliminary experiments using the fabricated device are demonstrated to detect hemoglobin filled in a blood vessel phantom.","","978-1-4244-5034-3","10.1109/SOCDC.2009.5423906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5423906","CMOS image sensors;Intrinsic optical singal;Implantation;Biomedical devices","CMOS image sensors;Optical recording;Optical imaging;Neurons;In vivo;Biomedical optical imaging;Optical sensors;Epilepsy;Surgery;Prototypes","biomedical electronics;biomedical optical imaging;blood vessels;brain;CMOS image sensors;electroencephalography;molecular biophysics;neurophysiology;phantoms;proteins","cerebral cortical neurons;CMOS image sensor;in vivo recording method;IOS imaging method;epilepsy surgery;brain activities;hemoglobin;blood vessel phantom;EEG;area image;electrical stimulation;intrinsic-optical-signal;multifunctional recording;size 0.35 mum","","1","","7","IEEE","4 Mar 2010","","","IEEE","IEEE Conferences"
"Rapid and low-invasive functional brain mapping by realtime visualization of high gamma activity for awake craniotomy","K. Kamada; H. Ogawa; C. Kapeller; R. Prueckl; C. Guger","Department for Neurosurgery, Asahikawa Medical University, Asahikawa, Japan; Department for Neurosurgery, Asahikawa Medical University, Asahikawa, Japan; g.tec Guger Technologies OG, Schiedlberg, Austria; g.tec Guger Technologies OG, Schiedlberg, Austria; g.tec Guger Technologies OG, Schiedlberg, Austria","2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society","6 Nov 2014","2014","","","6802","6805","For neurosurgery with an awake craniotomy, the critical issue is to set aside enough time to identify eloquent cortices by electrocortical stimulation (ECS). High gamma activity (HGA) ranging between 80 and 120 Hz on electrocorticogram (ECoG) is assumed to reflect localized cortical processing. In this report, we used realtime HGA mapping and functional magnetic resonance imaging (fMRI) for rapid and reliable identification of motor and language functions. Three patients with intra-axial tumors in their dominant hemisphere underwent preoperative fMRI and lesion resection with an awake craniotomy. All patients showed significant fMRI activation evoked by motor and language tasks. After the craniotomy, we recorded ECoG activity by placing subdural grids directly on the exposed brain surface. Each patient performed motor and language tasks and demonstrated realtime HGA dynamics in hand motor areas and parts of the inferior frontal gyrus. Sensitivity and specificity of HGA mapping were 100% compared to ECS mapping in the frontal lobe, which suggested HGA mapping precisely indicated eloquent cortices. The investigation times of HGA mapping was significantly shorter than that of ECS mapping. Specificities of the motor and language-fMRI, however, did not reach 85%. The results of HGA mapping was mostly consistent with those of ECS mapping, although fMRI tended to overestimate functional areas. This novel technique enables rapid and accurate functional mapping.","1558-4615","978-1-4244-7929-0","10.1109/EMBC.2014.6945190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6945190","","Electrodes;Magnetic resonance imaging;Lesions;Visualization;Neurosurgery;Sensitivity and specificity","biomedical MRI;brain;electroencephalography;medical image processing;neurophysiology;real-time systems;surgery;tumours","eloquent cortices;HGA mapping;motor language-fMRI;ECS mapping;inferior frontal gyrus;hand motor areas;realtime HGA dynamics;brain surface;subdural grids;recorded ECoG activity;motor tasks;fMRI activation;lesion resection;intra-axial tumors;motor identification;language functions;functional magnetic resonance imaging;realtime HGA mapping;localized cortical processing;electrocorticogram;high-gamma activity;electrocortical stimulation;eloquent cortices;awake craniotomy;neurosurgery;realtime visualization;low-invasive functional brain mapping;frequency 80 Hz to 120 Hz","Brain;Brain Mapping;Computer Systems;Craniotomy;Electrodes, Implanted;Electroencephalography;Gamma Rhythm;Hand Strength;Humans;Imaging, Three-Dimensional;Magnetic Resonance Imaging;Task Performance and Analysis;Wakefulness","5","","9","IEEE","6 Nov 2014","","","IEEE","IEEE Conferences"
"Unsupervised Region-Based Anomaly Detection In Brain MRI With Adversarial Image Inpainting","B. Nguyen; A. Feldman; S. Bethapudi; A. Jennings; C. G. Willcocks","Department of Computer Science, Durham University; Department of Engineering, University of Exeter; County Durham and Darlington NHS Foundation Trust; County Durham and Darlington NHS Foundation Trust; Department of Computer Science, Durham University","2021 IEEE 18th International Symposium on Biomedical Imaging (ISBI)","25 May 2021","2021","","","1127","1131","Medical segmentation is performed to determine the bounds of regions of interest (ROI) prior to surgery. By allowing the study of growth, structure, and behaviour of the ROI in the planning phase, critical information can be obtained, increasing the likelihood of a successful operation. Usually, segmentations are performed manually or via machine learning methods trained on manual annotations. In contrast, this paper proposes a fully automatic, unsupervised inpainting-based brain tumour segmentation system for T1-weighted MRI. First, a deep convolutional neural network (DCNN) is trained to reconstruct missing healthy brain regions. Then, upon application, anomalous regions are determined by identifying areas of highest reconstruction loss. Finally, superpixel segmentation is performed to segment those regions. We show the proposed system is able to segment various sized and abstract tumours and achieves a mean and standard deviation Dice score of 0.771 and 0.176, respectively.","1945-8452","978-1-6654-1246-9","10.1109/ISBI48211.2021.9434115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9434115","Anomaly Detection;Unsupervised Deep Learning;Generative Adversarial Networks;Inpainting","Image segmentation;Magnetic resonance imaging;Surgery;Manuals;Planning;Standards;Image reconstruction","biomedical MRI;brain;convolutional neural nets;image segmentation;medical image processing;tumours;unsupervised learning","unsupervised region-based anomaly detection;brain MRI;adversarial image;medical segmentation;ROI;fully automatic inpainting-based brain tumour segmentation system;unsupervised inpainting-based brain tumour segmentation system;T1-weighted MRI;deep convolutional neural network;healthy brain regions;anomalous regions;superpixel segmentation;DCNN","","9","","19","IEEE","25 May 2021","","","IEEE","IEEE Conferences"
"Modeling of intensity-modulated focused ultrasound in pediatric brain tumors using acoustic holograms","S. Jiménez-Gambín; A. N. Pouliopoulos; Z. K. Englander; N. Jiménez; F. Camarena; E. E. Konofagou; S. Zacharoulis; C. -C. Wu","Instituto de Instrumentación para Imagen Molecular. Universitat Politècnica de València - CSIC, Valencia, Spain; Departments of Biomedical Engineering, Columbia University, New York City, USA; Departments of Neurological Surgery, Columbia University Irving Medical Center, New York City, USA; Instituto de Instrumentación para Imagen Molecular. Universitat Politècnica de València - CSIC, Valencia, Spain; Instituto de Instrumentación para Imagen Molecular. Universitat Politècnica de València - CSIC, Valencia, Spain; Departments of Radiology, Columbia University, New York City, USA; Departments of pediatrics, Columbia University Irving Medical Center, New York City, USA; Herbert Irving Comprehensive Cancer Center, New York City, USA","2021 IEEE International Ultrasonics Symposium (IUS)","12 Nov 2021","2021","","","1","4","Targeted drug delivery to enhance chemotherapy treatments in brain tumors can be achieved by opening the blood-brain barrier in a non-invasive, transient, localized, safe manner by using focused ultrasound (FUS) and microbubbles. However, as brain tumors are large and irregular structures, conventional single-element FUS methods are inefficient because they do not allow large covering. In this study, we numerically showed how 3D-printed acoustic holograms allow to correct the skull aberrations and to produce a large and localized focusing along a pediatric brain tumor. Several targeting configurations were numerically studied aiming to increase the covered tumor volume while reducing the off-target coverage. Fluid-like tissue simulations were performed using the k-space method. We used a 250-kHz single-element device in different configurations (ROC=110 mm, OD=110 or 132 mm, ID=0 or 44 mm), where the optimal setup with lens (OD=132 mm, ID=0 mm) provided a 16 % of tumor coverage compared to the 5 % obtained using the transducer without lens (OD=110 mm, ID=44 mm), while keeping a reduced 0.06 % of off-target coverage. The focal amplitude decreases 1.6 times accordingly to the focus spread. The estimated sonication duration and the number of microbubble injections can be reduced by 3.2 times, defining a time- and cost-efficient approach. The reported approach is simple, low-cost, and feasible to offering personalized, tumor-directed precision FUS treatment, to improve drug delivery for pediatric patients with brain tumors.","1948-5727","978-1-6654-0355-9","10.1109/IUS52206.2021.9593797","Spanish Ministry of Science, Innovation and Universities(grant numbers:IJC2018-037897-I,PID2019111436RB-C22); Agència Valenciana de la Innovació(grant numbers:INNVAL10/19/016,INNCON/2021/8); Generalitat Valenciana(grant numbers:ACIF/2017/045,BEFPI/2019/075); National Institutes of Health(grant numbers:5R01EB009041,5R01AG038961); St. Baldrick's Foundation, Star and Storm Foundation; Programa Operativo del Fondo Europeo de Desarrollo Regional (FEDER) of the Comunitat Valenciana(grant numbers:IDIFEDER/2021/004); Comunitat Valenciana 2014–2020(grant numbers:IDIFEDER/2018/022); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9593797","acoustic hologram;blood-brain barrier opening;brain tumor","Transducers;Ultrasonic imaging;Uncertainty;Targeted drug delivery;Brain modeling;Attenuation;Acoustics","biological effects of acoustic radiation;biomedical transducers;blood;brain;cancer;drug delivery systems;drugs;paediatrics;tumours;ultrasonic therapy;ultrasonic transducers","microbubbles;single-element focused ultrasound;acoustic holograms;pediatric brain tumor;covered tumor volume;off-target coverage;single-element device;tumor coverage;targeted drug delivery;blood-brain barrier;tumor-directed focused ultrasound treatment;sonication duration;chemotherapy treatments;fluid-like tissue simulations;frequency 250 kHz","","1","","16","IEEE","12 Nov 2021","","","IEEE","IEEE Conferences"
