Publication Type;Article Title;Abstract;Publication Year;DOI
J;Feasibility of Ex Vivo Margin Assessment with Hyperspectral Imaging during Breast-Conserving Surgery: From Imaging Tissue Slices to Imaging Lumpectomy Specimen;"Developing algorithms for analyzing hyperspectral images as an intraoperative tool for margin assessment during breast-conserving surgery requires a dataset with reliable histopathologic labels. The feasibility of using tissue slices hyperspectral dataset with a high correlation with histopathology for developing an algorithm for analyzing the images from the surface of lumpectomy specimens was investigated. We presented a method to acquire hyperspectral images from the lumpectomy surface with a high correlation with histopathology. The tissue slices dataset was compared with the dataset obtained on lumpectomy specimen and the wavelengths with a penetration depth up to the minimum sample thickness of the tissue slices were used to develop a tissue classification algorithm. Spectral differences were observed between tissue slices and lumpectomy datasets due to differences in the sample thickness between both datasets; wavelengths with a high penetration depth were able to penetrate through the thinner tissue slices, affecting the captured signal. By using only wavelengths with a penetration depth up to the minimum sample thickness of the tissue slices, the adipose tissue could be discriminated from other tissue types, but differentiating malignant from connective tissue was more challenging.</p>";2021;10.3390/app11198881
J;Hyperspectral imaging for diagnosis and detection of ex-vivo breast cancer;Background and purpose: Breast cancer is one of the most widely recognized tumors. .Diagnosis made in the early stage of disease may imporve outcomes. The discovery of malignant growth utilizing noninvasive light intrusive methods in lieu of conventional excisional biopsy may assist in achieving this goal. Materials and methods: The change of the optical properties of ex-vivo breast tissues provides different responses to light transmission, absorption, and particularly the reflection over the spectrum range. We offer the use of Hyperspectral imaging (HSI) with advanced image processing and pattern recognition in order to analyze HSI data for breast cancer detection. The spectral signatures were mined and evaluated in both malignant and normal tissue. K-mean clustering was designed for classifying hyperspectral data in order to evaluate and detection of cancer tissue. This method was used to detect ex-vivo breast cancer. Spatial spectral images were created to high spot the differences in the reflectance properties of malignant versus normal tissue. Results: Trials showed that the superficial spectral reflection images within 500 nm wavelength showed high variance (214.65) between cancerous and normal breast tissues. On the other hand, image within 620 nm wavelength showed low variance (0.0020).However, the superimposed of spectral region 420-620 nm was proposed as the optimum bandwidth. Finally, the proposed HS imaging system was capable to discriminate the tumor region from normal tissue of the ex-vivo breast sample with sensitivity and a specificity of 95 % and 96 %. Conclusions: High sensitivity and specificity were achieved, which proposes potential for HSI as an edge evaluation method to enhance the surgical outcome compared to the presently available techniques in the clinics.;2020;10.1016/j.pdpdt.2020.101922
C;Multispectral tissue analysis and classification towards enabling automated robotic surgery;Accurate optical characterization of different tissue types is an important tool for potentially guiding surgeons and enabling automated robotic surgery. Multispectral imaging and analysis have been used in the literature to detect spectral variations in tissue reflectance that may be visible to the naked eye. Using this technique, hidden structures can be visualized and analyzed for effective tissue classification. Here, we investigated the feasibility of automated tissue classification using multispectral tissue analysis. Broadband reflectance spectra (200-1050 nm) were collected from nine different ex vivo porcine tissues types using an optical fiber-probe based spectrometer system. We created a mathematical model to train and distinguish different tissue types based upon analysis of the observed spectra using total principal component regression (TPCR). Compared to other reported methods, our technique is computationally inexpensive and suitable for real-time implementation. Each of the 92 spectra was cross-referenced against the nine tissue types. Preliminary results show a mean detection rate of 91.3%, with detection rates of 100% and 70.0% (inner and outer kidney), 100% and 100% (inner and outer liver), 100% (outer stomach), and 90.9%, 100%, 70.0%, 85.7% (four different inner stomach areas, respectively). We conclude that automated tissue differentiation using our multispectral tissue analysis method is feasible in multiple ex vivo tissue specimens. Although measurements were performed using ex vivo tissues, these results suggest that real-time, in vivo tissue identification during surgery may be possible.;2014;10.1117/12.2040627
J;Hyperspectral image-based analysis of thermal damage for ex-vivo bovine liver utilizing radiofrequency ablation;Background & objective: Thermal ablation is the predominant methodology to treat liver tumors for segregating patients who are not permitted to have surgical intervention. However, noticing or predicting the size of the thermal strategies is a challenging endeavor. We aim to analyze the effects of ablation district volume following radiofrequency ablation (RFA) of ex-vivo liver exploiting a custom Hyperspectral Imaging (HSI) system. Materials and methods: RFA was conducted on the ex-vivo bovine liver at focal and peripheral blood vessel sites and observed by Custom HSI system, which has been designed to assess the exactness and proficiency using visible and near-infrared wavelengths region for tissue thermal effect. The experiment comprised up to ten trials with RFA. The experiment was carried out in two stages to assess the percentage of the thermal effect on the investigated sample superficially and for the side penetration effect. Measuring the diffuse reflectance (R , d) of the sample to identify the spectral reflectance shift which could differentiate between normal and ablated tissue exploiting the designed cross-correlation algorithm for monitoring of thermal ablation. Results: Determination of the diffuse reflection (R , d) spectral signature responses from normal, thermal effected, and thermal ablation regions of the investigated liver sample. Where the ideal wavelength range at (600-640 nm) could discriminate between these different regions. Then, exploited the converted RGB image of the HS liver tissue after RFA for more validations which shows that the optimum wavelength for differentiation at (530-560 nm and 600-640 nm). Finally, applying statistical analysis to validate our results presenting that wavelength 600 nm had the highest standard deviation (delta) to differentiate between various thermally affected regions regarding the normal tissue and wavelength 640 nm shows the highest (delta) to differentiate between the ablated and normal regions. Conclusion: The designed and implemented medical imaging system incorporated the hyperspectral camera capabilities with the associate cross-correlation algorithm that could successfully distinguish between the ablated and thermally affected regions to assist the surgery during the tumor therapy.;2021;10.1016/j.suronc.2021.101564
J;Blind source separation of ex-vivo aorta tissue multispectral images;Blind Source Separation methods (BSS) aim for the decomposition of a given signal in its main components or source signals. Those techniques have been widely used in the literature for the analysis of biomedical images, in order to extract the main components of an organ or tissue under study. The analysis of skin images for the extraction of melanin and hemoglobin is an example of the use of BSS. This paper presents a proof of concept of the use of source separation of ex-vivo aorta tissue multispectral Images. The images are acquired with an interference filter-based imaging system. The images are processed by means of two algorithms: Independent Components analysis and Non-negative Matrix Factorization. In both cases, it is possible to obtain maps that quantify the concentration of the main chromophores present in aortic tissue. Also, the algorithms allow for spectral absorbance of the main tissue components. Those spectral signatures were compared against the theoretical ones by using correlation coefficients. Those coefficients report values close to 0.9, which is a good estimator of the method's performance. Also, correlation coefficients lead to the identification of the concentration maps according to the evaluated chromophore. The results suggest that Multi/hyper-spectral systems together with image processing techniques is a potential tool for the analysis of cardiovascular tissue. (C) 2015 Optical Society of America;2015;10.1364/BOE.6.001589
C;Automated classification of brain tissue: comparison between hyperspectral imaging and diffuse reflectance spectroscopy;In neurosurgery, technical solutions for visualizing the border between healthy brain and tumor tissue is of great value, since they enable the surgeon to achieve gross total resection while minimizing the risk of damage to eloquent areas. By using real-time non-ionizing imaging techniques, such as hyperspectral imaging (HSI), the spectral signature of the tissue is analyzed allowing tissue classification, thereby improving tumor boundary discrimination during surgery. More particularly, since infrared penetrates deeper in the tissue than visible light, the use of an imaging sensor sensitive to the near-infrared wavelength range would also allow the visualization of structures slightly beneath the tissue surface. This enables the visualization of tumors and vessel boundaries prior to surgery, thereby preventing the damaging of tissue structures. In this study, we investigate the use of Diffuse Reflectance Spectroscopy (DRS) and HSI for brain tissue classification, by extracting spectral features from the near infra-red range. The applied method for classification is the linear Support Vector Machine (SVM). The study is conducted on ex-vivo porcine brain tissue, which is analyzed and classified as either white or gray matter. The DRS combined with the proposed classification reaches a sensitivity and specificity of 96%, while HSI reaches a sensitivity of 95% and specificity of 93%. This feasibility study shows the potential of DRS and HSI for automated tissue classification, and serves as a first step towards clinical use for tumor detection deeper inside the tissue.;2021;10.1117/12.2548754
J;Hyperspectral Imaging of in vivo Tissues: A Review;Hyperspectral imaging method can obtain two-dimensional images and spectral information of in vivo tissues, which has the advantages of high spatial and spectral resolution, large imaging range, non-invasive nature, and fast speed, providing abundant information for in vivo tissue diagnosis. In recent years, researchers have made great progress in imaging methods, instruments, and applications. In this study, the main advances of hyperspectral imaging methods and applications arc reviewed, and the spectral imaging methods, system composition, and characteristics arc discussed. This study introduces the research progress in in vivo tissue imaging methods and application in terms of spectral reconstruction, tissue optical parameter measurement, and image processing based on deep learning. Simultaneously, the application progress of hyperspectral imaging in clinical medicine, such as skin trauma and healing process detection, diagnosis of diabetic foot and retinal diseases, intraoperative detection, and microcirculation function evaluation, is also summarized.;2020;10.3788/LOP57.080002
J;Visible near infrared reflectance molecular chemical imaging of human ex vivo carcinomas and murine in vivo carcinomas;Significance: A key risk faced by oncological surgeons continues to be complete removal of tumor. Currently, there is no intraoperative imaging device to detect kidney tumors during excision. Aim: We are evaluating molecular chemical imaging (MCI) as a technology for real-time tumor detection and margin assessment during tumor removal surgeries. Approach: In exploratory studies, we evaluate visible near infrared (Vis-NIR) MCI for differentiating tumor from adjacent tissue in ex vivo human kidney specimens, and in anaesthetized mice with breast or lung tumor xenografts. Differentiation of tumor from nontumor tissues is made possible with diffuse reflectance spectroscopic signatures and hyperspectral imaging technology. Tumor detection is achieved by score image generation to localize the tumor, followed by application of computer vision algorithms to define tumor border. Results: Performance of a partial least squares discriminant analysis (PLS-DA) model for kidney tumor in a 22-patient study is 0.96 for area under the receiver operating characteristic curve. A PLS-DA model for in vivo breast and lung tumor xenografts performs with 100% sensitivity, 83% specificity, and 89% accuracy. Conclusion: Detection of cancer in surgically resected human kidney tissues is demonstrated ex vivo with Vis-NIR MCI, and in vivo on mice with breast or lung xenografts. (C) The Authors. Published by SPIE under a Creative Commons Attribution 4.0 Unported License.;2020;10.1117/1.JBO.25.2.026003
J;Imaging high-intensity focused ultrasound-induced tissue denaturation by multispectral photoacoustic method: an ex vivo study;We present an ex vivo study for the first time, to the best of our knowledge, in multispectral photoacoustic imaging (PAI) of tissue denaturation induced by high-intensity focused ultrasound (HIFU) in this paper. Tissue of bovine muscle was thermally treated in a heated water bath and by HIFU, and then was imaged using a multispectral photoacoustic approach. Light at multiple optical wavelengths between 700 and 900 nm was delivered to the treated bovine muscle tissue to excite the photoacoustic signal. Apparent tissue denaturation has been observed in multispectral photoacoustic images after being treated in a water bath and by HIFU. It is interesting that the denaturation is more striking at shorter optical wavelength photoacoustic images than at longer optical wavelength photoacoustic images. Multispectral photoacoustic images of the tissue denaturation were further analyzed and the photoacoustic spectrums of the denaturized tissue were calculated in this paper. This study suggests that a multispectral PAI approachmight be a promising tool to evaluate tissue denaturation induced by HIFU treatment. (C) 2013 Optical Society of America;2013;10.1364/AO.52.001764
J;Image enhancement based on in vivo hyperspectral gastroscopic images: a case study;Hyperspectral imaging (HSI) has been recognized as a powerful tool for noninvasive disease detection in the gastrointestinal field. However, most of the studies on HSI in this field have involved ex vivo biopsies or resected tissues. We proposed an image enhancement method based on in vivo hyperspectral gastroscopic images. First, we developed a flexible gastroscopy system capable of obtaining in vivo hyperspectral images of different types of stomach disease mucosa. Then, depending on a specific object, an appropriate band selection algorithm based on dependence of information was employed to determine a subset of spectral bands that would yield useful spatial information. Finally, these bands were assigned to be the color components of an enhanced image of the object. A gastric ulcer case study demonstrated that our method yields higher color tone contrast, which enhanced the displays of the gastric ulcer regions, and that it will be valuable in clinical applications. (C) The Authors. Published by SPIE under a Creative Commons Attribution 3.0 Unported License.;2016;10.1117/1.JBO.21.10.101412
C;SERIAL SECTIONING AND MULTISPECTRAL IMAGING SYSTEM FOR VERSATILE BIOMEDICAL APPLICATIONS;Serial sectioning combined with microscopy provides high resolution volumetric data to complement in-vivo imaging modalities and aid ex-vivo diagnostics. We describe the design of a fully-automated cryomicrotome combined with a multispectral reflection and fluorescence imaging system that enables high-throughput analyses of biological specimens with a large field of view and cellular resolution while keeping the manufacturing and running costs low. We show the performance of the system for representative applications in high-resolution volumetric imaging of reporter animals and multispectral tissue analysis. Furthermore, we demonstrate the versatility of the economical imaging system in applications such as in vivo epifluorescence imaging, histology slide scanning, cell counting and gel electrophoresis documentation.;2014;
J;Real-Time Optoacoustic Tracking of Single Moving Micro-objects in Deep Phantom and Ex Vivo Tissues;Medical imaging plays an important role in diagnosis and treatment of multiple diseases. It is a field which seeks for improved sensitivity and spatiotemporal resolution to allow the dynamic monitoring of diverse biological processes that occur at the micro- and nanoscale. Emerging technologies for targeted diagnosis and therapy such as nanotherapeutics, microimplants, catheters, and small medical tools also need to be precisely located and monitored while performing their function inside the human body. In this work, we show for the first time the real-time tracking of moving single micro-objects below centimeter thick phantom tissue and ex vivo chicken breast, using multispectral optoacoustic tomography (MSOT). This technique combines the advantages of ultrasound imaging regarding depth and resolution with the molecular specificity of optical methods, thereby facilitating the discrimination between the spectral signatures of the micro-objects from those of intrinsic tissue molecules. The resulting MSOT signal is further improved in terms of contrast and specificity by coating the micro-objects' surface with gold nanorods, possessing a unique absorption spectrum, which facilitate their discrimination from surrounding biological tissues when translated to future in vivo settings.;2019;10.1021/acs.nanolett.9b02869
J;Rare-Earth Metal Ions Doped Graphene Quantum Dots for Near-IR In Vitro/In Vivo/Ex Vivo Imaging Applications;Near-infrared (NIR) emitting biocompatible nanomaterials are desired in biotechnology as higher penetration depth fluorescence imaging probes. In this work, novel NIR-emissive Nd3+-doped or Tm3+-doped biocompatible graphene quantum dots (GQDs) are developed via scalable, single-step bottom-up synthesis. Water-soluble Nd-GQDs/Tm-GQDs with average diameters of 5.6-8.2 nm possess crystalline graphene lattice with<1 atomic percent of Nd/Tm and exhibit NIR fluorescence at approximate to 1060/approximate to 925 nm attributed to the intrinsic transitions of Nd3+/Tm3+. High biocompatibility with>80% cell viability at 1 mg mL(-1)for Nd-GQDs and 0.25 mg mL(-1)for Tm-GQDs makes them well-suited for bioimaging. In vitro, both GQD types exhibit efficient internalization with their intracellular emission maximized at 6 h. The pH-dependence of this emission can serve as plethora of diagnostic applications. GQDs enable in vivo NIR imaging in live sedated NCr nude mice with IV administration: their NIR emission maximized at 6 h post-injection is primarily detected in intestine, kidneys, liver, and spleen, however, diminishing to none at 48 h. Ex vivo organ/slice imaging shows significant Tm-GQD fluorescence signatures in the aforementioned organs/slices. This capability of NIR fluorescence imaging in cells, tissues, and real-time detection in live animals makes biocompatible rare-earth metal-doped GQDs an attractive new candidate for in vitro/in vivo/ex vivo theranostics.;2020;10.1002/adom.202000897
J;Ex vivo photometric and polarimetric multilayer characterization of human healthy colon by multispectral Mueller imaging;Healthy human colon samples were analyzed ex vivo with a multispectral imaging Mueller polarimeter operating from 500 to 700 nm in a backscattering configuration with diffuse light illumination impinging on the innermost tissue layer, the mucosa. The intensity and polarimetric responses were taken on whole tissues first and after progressive exfoliation of the outer layers afterwards. Moreover, these measurements were carried out with two different substrates (one bright and the other dark) successively placed beneath each sample, allowing a reasonably accurate evaluation of the contributions to the overall backscattered light by the various layers. For the shorter investigated wavelengths (500 to 550 nm) the major contribution comes from mucosa and submucosa, while for the longer wavelengths (650 to 700 nm) muscular tissue and fat also contribute significantly. The depolarization has also been studied and is found to be stronger in the red part of the spectrum, mainly due to the highly depolarizing power of the muscular and fat layers. (C) 2012 Society of Photo-Optical Instrumentation Engineers (SPIE). [DOI: 10.1117/1.JBO.17.6.066009];2012;10.1117/1.JBO.17.6.066009
C;Multispectral photoacoustic imaging of tissue denaturation induced by high-intensity focused ultrasound treatment;This paper presents an ex vivo study in imaging high-intensity focused ultrasound induced tissue denaturation with multispectral photoacoustic approach. Beef tissues treated by both water bath and high-intensity focused ultrasound were imaged and evaluated by photoacoustic imaging method, where light in multiple optical wavelengths between 700nm and 900nm is applied. Tissue denaturation after being treated by water bath and high-intensity focused ultrasound has been observed in multispectral photoacoustic images. The denaturation is more striking in relatively shorter optical wavelength photoacoustic images than in relatively longer optical wavelength photoacoustic images. This study suggests that multispectral photoacoustic imaging method is promising in the evaluation of tissue denaturation induced by high-intensity focused ultrasound treatment.;2013;10.1117/12.2004689
J;Multispectral Imaging for Automated Tissue Identification of Normal Human Surgical Specimens;Objective Safe surgery requires the accurate discrimination of tissue intraoperatively. We assess the feasibility of using multispectral imaging and deep learning to enhance surgical vision by automated identification of normal human head and neck tissues. Study Design Construction and feasibility testing of novel multispectral imaging system for surgery. Setting Academic university hospital. Subjects and Methods Multispectral images of fresh-preserved human cadaveric tissues were captured with our adapted digital operating microscope. Eleven tissue types were sampled, each sequentially exposed to 6 lighting conditions. Two convolutional neural network machine learning models were developed to classify tissues based on multispectral and white-light color images (ARRInet-M and ARRInet-W, respectively). Blinded otolaryngology residents were asked to identify tissue specimens from white-light color images, and their performance was compared with that of the ARRInet models. Results A novel multispectral imaging system was developed with minimal adaptation to an existing digital operating microscope. With 81.8% accuracy in tissue identification of full-size images, the multispectral ARRInet-M classifier outperformed the white-light-only ARRInet-W model (45.5%) and surgical residents (69.7%). Challenges with discrimination occurred with parotid vs fat and blood vessels vs nerve. Conclusions A deep learning model using multispectral imaging outperformed a similar model and surgical residents using traditional white-light imaging at the task of classifying normal human head and neck tissue ex vivo. These results suggest that multispectral imaging can enhance surgical vision and augment surgeons' ability to identify tissues during a procedure.;2021;10.1177/0194599820941013
J;Use of Hyperspectral/Multispectral Imaging in Gastroenterology. Shedding Some-Different-Light into the Dark;Hyperspectral/Multispectral imaging (HSI/MSI) technologies are able to sample from tens to hundreds of spectral channels within the electromagnetic spectrum, exceeding the capabilities of human vision. These spectral techniques are based on the principle that every material has a different response (reflection and absorption) to different wavelengths. Thereby, this technology facilitates the discrimination between different materials. HSI has demonstrated good discrimination capabilities for materials in fields, for instance, remote sensing, pollution monitoring, field surveillance, food quality, agriculture, astronomy, geological mapping, and currently, also in medicine. HSI technology allows tissue observation beyond the limitations of the human eye. Moreover, many researchers are using HSI as a new diagnosis tool to analyze optical properties of tissue. Recently, HSI has shown good performance in identifying human diseases in a non-invasive manner. In this paper, we show the potential use of these technologies in the medical domain, with emphasis in the current advances in gastroenterology. The main aim of this review is to provide an overview of contemporary concepts regarding HSI technology together with state-of-art systems and applications in gastroenterology. Finally, we discuss the current limitations and upcoming trends of HSI in gastroenterology.;2019;10.3390/jcm8010036
C;A random forest-based method for selection of regions of interest in hyperspectral images of ex vivo human skin;Hyperspectral imaging is a useful tool for characterization of human tissue. However, the vast amount of data created makes it challenging and tedious to manually select spatial regions of interest for further processing. In this study, a random forest-based method was evaluated on basis of its ability to segment human skin regions from the background. The method was compared to the performance of two alternative methods, spectral angle mapper (SAM) and a K-means clustering-based method. The methods were tested on hyperspectral images of ex vivo and in vivo human skin in the wavelength range 400-1000 nm. The random forest approach was found to be robust and perform well regardless of image type. The method is simple to train, and requires minimal parameter tuning for good skin segmentation results.;2019;10.1117/12.2506620
